sitio_noticias,fecha,seccion,titular,cuerpo,url
La Razón,2026-07-04,Nacional,Diputados aprueba el PGE 2026 y lo remite al Senado,"El pleno de la Cámara de Diputados aprobó la madrugada de este sábado el proyecto de ley del Presupuesto General del Estado (PGE) reformulado para la gestión 2026.

Tras la luz verde en su estación en grande y en detalle, la norma será remitida a la Cámara de Senadores, para su análisis y debate.

El respaldo camaral fue superior a los dos tercios que se necesitaban para aprobar la propuesta de norma.

Al principio de la sesión, el ministro de Economía, José Gabriel Espinoza, defendió y explicó a los diputados la norma que ahora estará en manos de los senadores.

Una a una, respondió las preguntas de legisladores que cuestionaban ciertos contenidos del documento.

Antes del debate en el pleno camaral, el presidente de la Comisión de Planificación, Política Económica y Finanzas de la Cámara de Diputados, Raúl Párraga Meléndez, explicó que las modificaciones incorporadas al PGE buscan fortalecer el aparato productivo, respaldar a las universidades públicas y consolidar mecanismos de sostenibilidad fiscal.

“El Presupuesto General del Estado constituye una de las normas económicas más importantes del país. Nuestro trabajo fue analizar cada disposición con seriedad, escuchar los distintos criterios y plantear modificaciones que respondan a las necesidades de los bolivianos”, afirmó el legislador.

Entre los principales cambios figura la exención, por cinco años, del pago de aranceles e Impuesto al Valor Agregado (IVA) para la importación y comercialización de insumos, semillas, drones y sus accesorios, herramientas, equipos, bienes de capital y plantas industriales destinados a los sectores agropecuario, industrial, de la construcción, transporte y minería.

La comisión también aprobó una redistribución del incremento presupuestario asignado al sistema universitario público por Bs 409.725.262. De ese monto, el 85% (Bs 348.266.473) será destinado al pago de sueldos y salarios para fortalecer la capacidad académica y administrativa de las universidades, mientras que el 15% restante (Bs 61.458.789) financiará estudios y proyectos de investigación científica, en cumplimiento de la Constitución Política del Estado.

Asimismo, el proyecto incorpora medidas orientadas a reforzar la disciplina fiscal y la transparencia en la administración pública. Entre ellas, establece que el presupuesto reformulado tendrá vigencia únicamente durante la gestión fiscal 2026 y no podrá utilizarse para convalidar, regularizar o legitimar actos administrativos, financieros, presupuestarios o de endeudamiento ejecutados antes de la promulgación de la ley.

La propuesta también crea programas de saneamiento y sostenibilidad fiscal para las entidades territoriales autónomas, permitiendo que aquellas que suscriban acuerdos con el Ministerio de Economía accedan a mecanismos especiales para readecuar su situación financiera.

Finalmente, se modifica el artículo 115 de la Ley Marco de Autonomías y Descentralización para fortalecer el control de las asambleas legislativas departamentales sobre el uso de los recursos públicos.

La disposición establece que la deuda flotante y la deuda no registrada no podrán superar el 5% del gasto ejecutado y dispone la promoción de acciones legales cuando se detecten gastos sin respaldo financiero.",https://larazon.bo/nacional/2026/07/04/diputados-aprueba-el-pge-2026-y-lo-remite-al-senado/
La Razón,2026-07-04,Columnistas,Urupabol: integración que genera oportunidades,"Paraguay, Uruguay y Bolivia iniciaron una nueva etapa de Urupabol como un mecanismo de integración regional pragmático, orientado a fortalecer la cooperación, la complementariedad y la generación de oportunidades para sus pueblos.

Urupabol fue creado en Caracas el 25 de abril de 1963 en el marco de la representación del Banco Interamericano de Desarrollo (BID). Ese mismo año, los tres países suscribieron en Asunción el acuerdo que dio origen a una comisión permanente para impulsar el comercio internacional. Posteriormente, el mecanismo promovió iniciativas como el mejor aprovechamiento de las vías de acceso al océano Atlántico y la creación de una flota multinacional fluvio-marítima.

Durante la reciente Cumbre del Mercosur, realizada en Luque (Paraguay), el Ministro de Relaciones Exteriores de Bolivia, Fernando Aramayo, y los cancilleres de Paraguay y Uruguay suscribieron un comunicado conjunto para reactivar Urupabol. En esa oportunidad, Bolivia asumió la Secretaría Pro Témpore del mecanismo, desde donde coordinará el plan de acción anual y convocará al próximo encuentro trilateral.

La reactivación de Urupabol representa una oportunidad para fortalecer el papel de Bolivia como articulador de la integración regional, aprovechando su ubicación estratégica, la Hidrovía Paraguay-Paraná y los corredores bioceánicos para impulsar el comercio, las inversiones y el desarrollo productivo.

Es momento de dejar atrás la imagen de un «país tranca» y consolidar una visión basada en la integración, promoviendo la libre circulación de bienes, servicios y personas. Como miembro del Mercosur, de la Comunidad Andina y de Urupabol, Bolivia puede convertirse en un articulador estratégico entre los océanos Pacífico y Atlántico, fortaleciendo su economía mediante el comercio y la inversión.

La Hidrovía Paraguay-Paraná constituye uno de los principales activos para el comercio exterior boliviano. Con más de 3.400 kilómetros de extensión, conecta a Brasil, Bolivia, Paraguay, Argentina y Uruguay, consolidándose como uno de los corredores logísticos más importantes de Sudamérica.

El fortalecimiento permanente de esta vía navegable permitirá una conectividad más moderna y eficiente entre los países de la región, reduciendo costos logísticos, facilitando el acceso a los mercados internacionales e impulsando nuevas inversiones productivas. Su consolidación es clave para incrementar la competitividad y aprovechar plenamente el potencial exportador de Bolivia.

Según el Instituto Boliviano de Comercio Exterior (IBCE), en 2025 el movimiento de carga por esta hidrovía alcanzó 840.368 toneladas, de las cuales 726.407 correspondieron a exportaciones, generando un movimiento económico cercano a 388 millones de dólares. A través de esta vía Bolivia exporta soya y sus derivados, minerales de hierro, urea, yeso natural y otros productos.

Para el empresariado boliviano, Urupabol debe impulsar la integración comercial mediante la Hidrovía Paraguay-Paraná y fortalecer la coordinación con Chile y Brasil para desarrollar los corredores bioceánicos y otros proyectos de infraestructura logística que potencien el comercio regional.

Bolivia debe dejar atrás la imagen de un país marcado por los bloqueos y consolidarse como un país bioceánico, integrador y facilitador del comercio regional. Debemos fortalecer la integración regional aprovechando nuestra ubicación estratégica, consolidando a Bolivia como el heartland de Sudamérica y como el puente de articulación entre la Comunidad Andina y el Mercado Común del Sur.",https://larazon.bo/opinion/columnistas/2026/07/04/urupabol-integracion-que-genera-oportunidades/
La Razón,2026-07-04,Voces,La diplomacia del interés nacional,"Las grandes transformaciones de la política internacional no comienzan con un tratado ni con una declaración solemne. Comienzan cuando un Estado redefine la manera en que comprende y defiende sus propios intereses. En tiempos de incertidumbre suele preguntarse dónde está la diplomacia.

La pregunta es legítima, pero parte de una idea incompleta. La mejor diplomacia rara vez ocupa el centro del escenario. Su verdadero valor no se mide por la cantidad de comunicados que emite ni por la intensidad de su exposición pública. Se mide por su capacidad para generar confianza, ampliar oportunidades y convertir el interés nacional en resultados concretos para la sociedad.

La política internacional cambió. Hoy los Estados no compiten únicamente por influencia política o capacidad militar. Compiten por inversión, financiamiento, tecnología, innovación, mercados, infraestructura, talento y credibilidad. La geoeconomía, la transición energética, la revolución digital y la reorganización de las cadenas globales de suministro han transformado profundamente la naturaleza de las relaciones internacionales. En este nuevo escenario, la política exterior dejó de ser un ámbito reservado al protocolo para convertirse en una herramienta estratégica del desarrollo.

Los Estados que logran prosperar no son necesariamente aquellos que hablan más fuerte. Son aquellos que inspiran mayor confianza. Ningún inversionista compromete recursos en un país imprevisible. Ningún organismo internacional apuesta por un Estado incapaz de sostener políticas consistentes. Ninguna alianza duradera se construye sobre la incertidumbre. La confianza es hoy uno de los recursos estratégicos más valiosos del sistema internacional. Y la diplomacia constituye el principal instrumento para construirla.

Por ello, el interés nacional debe recuperar el lugar que le corresponde como principio rector de la política exterior. No es una consigna política ni una expresión retórica. Tampoco pertenece a un gobierno determinado. El interés nacional representa aquellos objetivos permanentes que justifican la acción internacional del Estado: preservar la soberanía, fortalecer la democracia, ampliar las oportunidades de desarrollo, proteger a la población, garantizar la seguridad y proyectar al país como un socio confiable, serio y respetuoso del derecho internacional.

Desde esa perspectiva, la política exterior deja de ser reactiva para convertirse en una política pública estratégica. Su propósito ya no consiste únicamente en representar al Estado fuera de sus fronteras, sino en generar condiciones internacionales que favorezcan el crecimiento económico, la innovación, la integración regional, la estabilidad institucional y el bienestar de la población. La mejor política exterior no es la que produce más titulares. Es la que produce más oportunidades.

Esta es la visión que inspira la nueva política exterior boliviana. Una política exterior soberana, porque responde exclusivamente a los intereses permanentes del Estado; pragmática, porque entiende que cada relación internacional debe traducirse en beneficios concretos para el país; y previsible, porque la confianza internacional solo puede construirse cuando un Estado actúa con coherencia, responsabilidad y claridad estratégica. La soberanía sin pragmatismo conduce al aislamiento. El pragmatismo sin principios termina subordinando el interés nacional. El desafío consiste en armonizar ambos para ampliar los márgenes de decisión de Bolivia en un mundo crecientemente competitivo.

Esta concepción supone también abandonar una mirada limitada sobre nuestra inserción internacional. Durante décadas, Bolivia fue percibida como un país que buscaba integrarse a la región. Hoy el desafío es mayor: convertirse en un país capaz de articularla. Nuestra ubicación geográfica en el corazón de Sudamérica, nuestra condición amazónica, andina y chaqueña, nuestro potencial energético y mineral, nuestra biodiversidad y nuestra vocación integradora nos otorgan una responsabilidad distinta. Bolivia no debe limitarse a participar en los procesos regionales; debe contribuir a conectarlos. Articular corredores bioceánicos, integrar mercados, facilitar el comercio, fortalecer la conectividad, promover la cooperación energética y generar nuevas oportunidades de desarrollo constituye una visión estratégica del país y no únicamente una agenda diplomática.

La inserción internacional de Bolivia debe responder a esa lógica. Una política exterior orientada al desarrollo implica abrir mercados para la producción nacional, atraer inversión estratégica, movilizar financiamiento para infraestructura, promover transferencia tecnológica, fortalecer la cooperación científica, ampliar la presencia en nuevos espacios económicos y proteger a las bolivianas y los bolivianos que viven en el exterior. La diplomacia deja entonces de ser un fin en sí mismo para convertirse en un instrumento al servicio del desarrollo nacional.

Esa transformación exige también una Cancillería diferente. El siglo XXI demanda instituciones capaces de anticipar escenarios antes que reaccionar frente a ellos. La diplomacia contemporánea requiere inteligencia estratégica, prospectiva, especialización técnica, análisis geopolítico y geoeconómico, diplomacia económica, tecnológica y pública, así como una coordinación permanente con el conjunto del Estado, el sector productivo, la academia y la sociedad civil. La política exterior ya no puede administrarse desde la lógica de la inercia; debe conducirse desde la lógica de la estrategia.

Los acontecimientos recientes también dejan otra enseñanza. La política exterior del siglo XXI ya no puede entenderse como un ámbito reservado a una única tradición profesional. La complejidad del sistema internacional exige integrar conocimientos provenientes del derecho, la economía, la seguridad, la tecnología, la comunicación estratégica y la geopolítica, articulados por una visión común del interés nacional. La reciente actuación de Bolivia en la Asamblea General de la Organización de los Estados Americanos confirmó que la legitimidad internacional no se construye únicamente en una sesión plenaria, sino mediante una política exterior coherente, equipos capaces de interpretar escenarios complejos y la credibilidad que un Estado proyecta cuando actúa con profesionalismo, serenidad y apego al derecho internacional. En diplomacia, como en toda política pública de excelencia, el verdadero valor no reside en el origen de las trayectorias individuales, sino en la capacidad colectiva de generar resultados para el país.

La diplomacia no sustituye a las instituciones nacionales ni resuelve por sí sola los desafíos internos. Pero sí crea un entorno internacional que fortalece la estabilidad democrática, amplía los espacios de cooperación, protege la legitimidad del Estado y evita que la desinformación o las simplificaciones terminen definiendo la percepción internacional de un país. En un mundo interdependiente, la defensa de la democracia también se ejerce mediante una política exterior seria, profesional y orientada por el interés nacional.

Por ello, la política exterior boliviana debe proyectarse con visión de largo plazo. No puede quedar limitada a la administración de coyunturas ni a la reacción frente a las crisis. Debe contribuir a transformar las ventajas estratégicas del país en oportunidades reales para su población. Debe conectar la acción internacional con la producción, la innovación, la infraestructura, la seguridad energética, la integración regional y la generación de empleo. Cada decisión adoptada fuera de nuestras fronteras debe crear mejores condiciones dentro de ellas.

Las naciones que prosperan no son únicamente las que poseen mayores recursos. Son aquellas capaces de convertir su reputación internacional en una ventaja estratégica. Las que comprenden que la confianza abre puertas que el poder, por sí solo, nunca logra abrir. Las que entienden que la política exterior constituye una inversión en el futuro y no un gasto de representación.

Bolivia ha decidido avanzar en esa dirección. No para buscar protagonismo internacional, sino para ampliar las oportunidades de su pueblo. No para alinearse automáticamente con unos u otros, sino para relacionarse con todos desde la defensa de sus propios intereses. No para reaccionar frente al mundo, sino para participar activamente en su transformación desde una posición soberana, pragmática y responsable.

En el siglo XXI, la verdadera influencia de un Estado ya no depende únicamente del tamaño de su territorio, de su economía o de su poder militar. Depende también de la confianza que inspira, de la coherencia con la que actúa y de la capacidad de convertir su política exterior en una herramienta para ampliar las oportunidades de su pueblo. Esa es la razón por la que la diplomacia del interés nacional no constituye una consigna. Constituye una visión de Estado.",https://larazon.bo/voces/2026/07/04/la-diplomacia-del-interes-nacional/
La Razón,2026-07-04,Columnistas,Importar o producir,"La decisión del Gobierno de autorizar, de manera excepcional, la importación y comercialización privada de combustibles ha sido presentada como un giro importante en la política energética del país. Y, en efecto, lo es. Pero no por las razones que muchos imaginan.

El decreto es una medida coyuntural. El verdadero problema comenzó mucho antes, cuando Bolivia dejó de producir buena parte de los combustibles que consume.

Durante años el consumo interno creció mientras la producción nacional disminuía. Los yacimientos declinan naturalmente. Lo que permite sostener la producción es descubrir nuevas reservas mediante exploración y desarrollar nuevos campos. Y eso fue precisamente lo que se dejó de hacer.

Resulta inevitable recordar que el país recibió aproximadamente 60.000 millones de dólares por la exportación de gas. A ello debe sumarse el extraordinario incremento de los precios internacionales de los minerales y de los productos agropecuarios. Bolivia vivió la mayor bonanza económica de sus dos siglos de vida republicana.

Sin embargo, esa abundancia no estuvo acompañada por una auténtica política de desarrollo nacional, ni siquiera por una estrategia destinada a reponer las reservas que el país iba consumiendo.

Hoy cosechamos las consecuencias.

Importamos más de la mitad de la gasolina que consumimos y cerca del noventa por ciento del diésel. Cada litro importado cuesta mucho más que el precio al que se vende en el mercado interno. Esa diferencia la cubre el Estado mediante el subsidio. Mientras mayor es la dependencia de las importaciones, mayor es también la presión sobre las finanzas públicas.

Por si fuera poco, surgió otro efecto perverso. La enorme diferencia entre el precio interno y el vigente en los países vecinos convirtió durante años al combustible subsidiado en un extraordinario negocio para el contrabando.

Recuerdo perfectamente que cuando el gobierno de Rodrigo Paz incrementó el precio de los combustibles, la demanda cayó aproximadamente a la mitad. Aquello reveló la magnitud del combustible que salía clandestinamente del país para enriquecer a quienes lucraban ilegalmente con ese subsidio.

El Gobierno intentó reducir parcialmente esa carga mediante un ajuste de precios. Sin embargo, el incremento de las cotizaciones internacionales del petróleo, agravado por el conflicto en Oriente Medio, volvió a ampliar la brecha entre el costo real de importación y el precio interno. A ello se sumó el elevado costo político de la llamada «gasolina basura».

En ese contexto aparece el nuevo decreto.

Conviene aclarar algo desde el principio. La norma no elimina el subsidio ni privatiza YPFB. Permite que el sector privado importe y comercialice combustibles a precio de mercado, mientras la empresa estatal continúa abasteciendo con combustibles subsidiados. En los hechos, Bolivia comienza a transitar hacia un mercado dual.

Como incentivo para esa apertura, el decreto elimina temporalmente el IEHD para los combustibles importados por privados y reduce a cero el arancel para la importación de gasolinas. El objetivo es disminuir el costo de importación y acercar el precio de mercado al combustible subsidiado.

En cierta forma se comienza a corregir una característica perniciosa del subsidio a los carburantes: que es un subsidio ciego.

Ha beneficiado por igual al pequeño productor, al transportista, al taxista y al ciudadano de ingresos modestos que realmente necesitaban ese apoyo, pero también a grandes empresas y consumidores con capacidad suficiente para pagar un precio más cercano al costo real.

El nuevo esquema mantiene el subsidio, pero deja de convertirlo en la única alternativa. Eso puede ser especialmente importante para los sectores productivos. Los productores agropecuarios llevan meses reclamando que el diésel no llega cuando lo necesitan para sembrar, cosechar o transportar su producción. Lo mismo ocurre con numerosas industrias y empresas de transporte.

En esas circunstancias, el combustible más caro no es el que tiene el precio más alto. Es el que no existe cuando se lo necesita.

Si la importación privada reduce parcialmente ese desabastecimiento, el beneficio para la producción nacional puede ser considerable.

Naturalmente, también existen riesgos. Será indispensable impedir que combustible adquirido a precio subsidiado termine siendo revendido a precio de mercado. La fiscalización deberá ser rigurosa y la reglamentación suficientemente clara para evitar desvíos, mezclas y mercados paralelos.

Pero incluso si todo ello funciona adecuadamente, conviene no perder de vista lo esencial.

Este decreto administra una consecuencia. No resuelve la causa.

La verdadera solución exige que Bolivia vuelva a producir los hidrocarburos que consume. Para ello se requieren reglas claras, contratos competitivos, seguridad jurídica y una legislación moderna que incentive la exploración. Pero existe una condición todavía más importante: ningún inversionista comprometerá recursos durante años si no tiene la certeza de que, en caso de controversia, encontrará una administración de justicia oportuna, proba e independiente.

Ningún país resuelve de manera permanente un problema energético administrando únicamente la distribución de combustibles. La verdadera solución comenzará cuando se creen las condiciones para descubrir y desarrollar nuevos recursos hidrocarburíferos.

Por eso, el debate de fondo no consiste en decidir quién importa el combustible. Consiste en preguntarnos cómo volveremos a producirlo.

Los decretos pueden aliviar la emergencia, pero sólo una política energética de largo plazo permitirá que Bolivia recupere su seguridad energética.

Importar puede resolver la urgencia. Producir decidirá el futuro.",https://larazon.bo/opinion/columnistas/2026/07/04/importar-o-producir/
La Razón,2026-07-04,Economía y Empresa,Naabol inicia la formación de nuevos bomberos aeronáuticos,"Navegación Aérea y Aeropuertos Bolivianos (Naabol) inauguró el curso de formación inicial para bomberos aeronáuticos en el aeropuerto de El Alto, donde 22 nuevos integrantes del Servicio de Salvamento y Extinción de Incendios (SSEI) iniciaron un proceso de capacitación especializada destinado a fortalecer sus competencias técnicas y operacionales para la atención de emergencias aeroportuarias.

El curso contempla 180 horas académicas, distribuidas entre clases teóricas, prácticas y simulacros, que se desarrollarán en horario de 08:00 a 18:00. Esta iniciativa, forma parte de las políticas de fortalecimiento institucional impulsadas por el ministro de Obras Públicas, Mauricio Zamora, orientadas en elevar los estándares de calidad en los servicios aeroportuarios del país.

La formación permitirá que los participantes adquieran los conocimientos y habilidades necesarios para responder de manera eficiente y oportuna ante situaciones de emergencia, garantizando la seguridad de los pasajeros, tripulaciones, aeronaves e infraestructura aeroportuaria.

El director de NAABOL, Jaime Machicao Roca, destacó que la capacitación permanente del personal constituye una prioridad institucional para consolidar una cultura de seguridad operacional y fortalecer la capacidad de respuesta en los aeropuertos administrados por la entidad.

“La preparación de nuestros bomberos aeronáuticos es fundamental para brindar un servicio seguro y eficiente. En Naabol trabajamos de manera permanente para que nuestro personal cuente con las competencias y certificaciones que exige la normativa nacional e internacional, garantizando una respuesta profesional ante cualquier eventualidad”, afirmó.

Lea más: Operaciones aéreas se desarrollan con normalidad, según NAABOL

La capacitación se desarrolla en estricto cumplimiento de las Regulaciones Aeronáuticas Bolivianas (RAB) 138 y 139 y de los estándares establecidos por la Organización de Aviación Civil Internacional (OACI), contribuyendo al fortalecimiento del Sistema de Gestión de la Seguridad Operacional (SMS).

El plan de estudios comprende 16 módulos especializados, entre ellos seguridad operacional, planes de emergencia, extinción de incendios en aeronaves, técnicas de rescate, manejo de materiales peligrosos, atención prehospitalaria, factores humanos y familiarización con aeronaves.

Además, incluye ejercicios prácticos y simulaciones que permitirán a los participantes desarrollar destrezas para actuar con rapidez, eficacia y coordinación ante distintos tipos de emergencias.",https://larazon.bo/economia-y-empresa/2026/07/04/naabol-inicia-la-formacion-de-nuevos-bomberos-aeronauticos/
La Razón,2026-07-04,Economía y Empresa,Vías Bolivia reanuda operaciones en la estación de peaje Vilaque-Copata,"Vías Bolivia reanudó las operaciones de la estación de peaje Vilaque-Copata, luego de ejecutar una rehabilitación parcial de la infraestructura destruida durante el atentado del 23 de mayo de 2026. Con esta medida, se restablece el cobro de peajes y se garantiza la continuidad del servicio.

Por instrucción del presidente Rodrigo Paz, el ministro de Obras Públicas, Mauricio Zamora, impulsó las acciones para restituir el funcionamiento de la estación. Para ello, Vías Bolivia instaló infraestructura operativa provisional, casetas temporales, repuso equipos tecnológicos y rehabilitó los sistemas de comunicación, energía y cobro.

La Dirección de Operaciones precisó que la reapertura corresponde a una fase transitoria, ya que la infraestructura original fue destruida por completo y será reconstruida posteriormente.

Lea más: Vías Bolivia apunta a implementar nuevos peajes en el país

La entidad informó que dejó de percibir Bs 52,5 millones por concepto de peajes debido a los más de 50 días de bloqueos que afectaron las carreteras del país, por lo que la recuperación de los ingresos será gradual.

El ataque del 23 de mayo también provocó la destrucción de las estaciones de peaje de Achica Arriba y Vilaque, además del incendio de las viviendas de los recaudadores. Los hechos ocurrieron durante los bloqueos en la ruta La Paz-Oruro, cuando grupos de manifestantes violentos arremetieron contra ambas instalaciones.

Con la reanudación de las operaciones, Vías Bolivia restablece el servicio de peaje y asegura la transferencia de los recursos recaudados a la Administradora Boliviana de Carreteras (ABC), para la conservación y mantenimiento de la Red Vial Fundamental, conforme a la normativa vigente.",https://larazon.bo/economia-y-empresa/2026/07/04/vias-bolivia-reanuda-operaciones-en-la-estacion-de-peaje-vilaque-copata/
La Razón,2026-07-04,Economía y Empresa,Diputados declara prioritaria una nueva ruta La Paz-Cochabamba,"La Cámara de Diputados aprobó el Proyecto de Ley 599/2025-2026, que declara de prioridad nacional la construcción e incorporación del tramo carretero Río Abajo–Quillacollo a la Red Vial Fundamental, con el objetivo de fortalecer la integración de los departamentos de La Paz y Cochabamba.

“Habiéndose aprobado en sus dos estaciones, en detalle y en grande, y siendo Cámara de Origen, queda aprobada la presente ley. Remítase al Órgano Ejecutivo para fines constitucionales”, señaló el presidente de la Cámara de Diputados, Roberto Castro Salazar.

El proyecto de ley autoriza al Órgano Ejecutivo, a través de los ministerios de Obras Públicas, Servicios y Vivienda; Economía y Finanzas Públicas; Relaciones Exteriores; y Planificación del Desarrollo y Medio Ambiente, a promover e implementar las acciones necesarias para viabilizar la ejecución del proyecto carretero.

Lea más: Vías Bolivia apunta a implementar nuevos peajes en el país

Entre las acciones previstas se contempla la gestión de financiamiento mediante créditos, donaciones o cooperación de organismos internacionales, así como la implementación de alianzas público-privadas para la construcción, ejecución, operación y mantenimiento de la infraestructura vial.

Entre mayo y junio, la Central Obrera Boliviana (COB) encabezó un conflicto político y social que se prolongó por más de 50 días y exigía la renuncia del presidente Rodrigo Paz.

La medida provocó desabastecimiento de alimentos, combustibles y medicamentos, además de un fuerte impacto económico, principalmente en los departamentos del occidente del país, con La Paz como la región más afectada.

Según el Gobierno, las protestas dejaron 14 fallecidos y ocasionaron pérdidas superiores a Bs 14.000 millones.",https://larazon.bo/economia-y-empresa/2026/07/04/diputados-declara-prioritaria-una-nueva-ruta-la-paz-cochabamba/
La Razón,2026-07-04,Nacional,TCP recibió seis recursos contra el Estado de excepción; cuatro fueron rechazados,"El Tribunal Constitucional Plurinacional (TCP) recibió entre cinco y seis recursos vinculados al Estado de excepción decretado por el presidente Rodrigo Paz. Sin embargo, la mayoría fue rechazada por incumplir los requisitos de admisibilidad, informó este viernes la presidenta de esa instancia, Paola Prudencio.

El Estado de excepción fue declarado la madrugada del 20 de junio, mediante el Decreto Supremo 5636, tras 50 días de bloqueos y protestas sociales, con el objetivo de restablecer el libre tránsito y garantizar el abastecimiento de alimentos, combustibles y otros servicios esenciales.

La medida fue adoptada luego de un acuerdo de pacificación suscrito entre el Gobierno y la Central Obrera Boliviana (COB).

Prudencio explicó que la vigencia del Estado de excepción no suspende el funcionamiento del máximo órgano de control constitucional ni restringe el acceso de los ciudadanos a la justicia constitucional.

«El Estado de excepción, conforme prevé la Constitución Política del Estado, no restringe derechos fundamentales y uno de los derechos fundamentales de todo ciudadano boliviano es contar con un Tribunal Constitucional que ejerza esta labor de control constitucional (…). Nuestras labores no se han detenido en lo absoluto», afirmó en entrevista con RTP.

La magistrada indicó que durante este periodo ingresaron varias acciones constitucionales relacionadas con la medida excepcional.

«Han presentado una serie de acciones de orden constitucional, acciones de inconstitucionalidad, se están tramitando conforme al procedimiento», señaló.

Respecto del estado procesal de esos recursos, precisó que la mayoría no superó la fase inicial de revisión.

«De las cinco o seis que recuerdo en este momento, entiendo que cuatro han sido rechazadas porque no se han cumplido los requisitos de admisibilidad y en dos o en tres creo se ha solicitado que se subsanen estos requisitos de admisibilidad», explicó.

Prudencio aclaró que las demandas no cuestionan la constitucionalidad de la norma que regula el estado de excepción, sino disposiciones específicas de esa legislación.

«En realidad no se cuestiona la inconstitucionalidad de la norma que regula el estado de excepción; se acusa la inconstitucionalidad, si mal no recuerdo, de dos o de tres artículos de esta ley», sostuvo.

Las acciones que continúan en trámite deberán cumplir las observaciones formuladas por el TCP antes de que la Sala Plena determine si corresponde admitirlas para un análisis de fondo.

El presidente Rodrigo Paz decretó el 20 de junio el Estado de excepción como medida para poner fin a los bloqueos de carreteras que duraron 53 días y generaron fuertes daños a la economía y afectaron fuertemente a varias regios, principalmente las ciudades de La Paz y El Alto.",https://larazon.bo/nacional/2026/07/04/tcp-recibio-seis-recursos-contra-el-estado-de-excepcion-cuatro-fueron-rechazados/
La Razón,2026-07-04,Sociedad,Gobernación atribuye al Gobierno una posible ampliación del feriado del 16 de julio,"La Gobernación de La Paz señaló que decretar una posible ampliación del feriado del 16 de julio es una atribución directa del Gobierno nacional.

El feriado departamental este año cae un jueves, el cual podría extenderse al viernes 17 de julio, lo que contribuiría a la reactivación del turismo en la región.

La noticia fue dada a conocer por la jefa de Gabinete de la Gobernación, Beatriz Cahuasa, en contacto con los medios.

“Ese tema corresponde a otra instancia, a nivel del Estado nacional. Ojalá que el turismo pueda recuperarse. Será la decisión del Gobierno, pero, en esa perspectiva, si se da, ojalá que podamos reactivar el turismo”, afirmó Cahuasa.

Explicó que el departamento atravesó por momentos críticos a nivel económico y social, producto de los 53 días de bloqueos, que ocasionaron un sinfín de perjuicios en diversos sectores.

Asimismo, señaló que, de concretarse esta ampliación, podría contribuir especialmente a la reactivación del turismo comunitario. La cual constituye uno los ejes de trabajo principales impulsados por la Gobernación.

Mencionó que los festejos por el mes de La Paz comprenden la realización de una sesión de honor de la Asamblea Legislativa Departamental que se llevará a cabo el 15 de julio en el Auditorio del Banco Central de Bolivia.

“En esta sesión de honor se van a condecorar, se va a reconocer la labor de gente, organizaciones e instituciones destacadas. Además, se va a invitar a las principales autoridades de los 87 municipios”, sostuvo.

Cahuasa afirmó que la Gobernación encabezará el desfile de teas, junto al presidente y otras autoridades de Estado.

“Tenemos la intención de que en esta versión el desfile de comience a las 17.00 horas con la presencia de las principales autoridades”, detalló la autoridad.",https://larazon.bo/sociedad/2026/07/04/gobernacion-atribuye-al-gobierno-una-posible-ampliacion-del-feriado-del-16-de-julio/
La Razón,2026-07-04,Nacional,Lupo rechaza legalizar autos ‘chutos’ y advierte de un ‘riesgo moral’,"El ministro de la Presidencia, José Luis Lupo, expresó este sábado su rechazo a una eventual legalización de vehículos indocumentados y advirtió que una medida de esa naturaleza enviaría una señal equivocada a la ciudadanía.

No obstante, aclaró que el Gobierno aún no analizó ni debatió oficialmente esa posibilidad.

«No estoy de acuerdo con legalizar lo ilegal, porque eso genera una expectativa negativa y un riesgo moral muy fuerte hacia el futuro, porque afecta a todos los que han trabajado legalmente y esperan otra conducta por parte de sus dirigentes», afirmó la autoridad en entrevista con Erbol .

Lupo precisó que su postura corresponde a una opinión personal y remarcó que el Ejecutivo no abordó el tema en ninguna de sus instancias de decisión.

El debate sobre una nueva nacionalización de vehículos indocumentados resurgió después de que el diputado de Libre, Reinaldo Seas, presentara un proyecto de ley para regularizar estos motorizados. La iniciativa también fue rechazada por el líder de esa alianza política, Jorge Tuto Quiroga, quien sostuvo que no respaldará una norma que legalice bienes ingresados al país de forma irregular.

Pese a su posición, el ministro reconoció que la circulación de vehículos «chutos» constituye un problema que, por su magnitud, deberá ser evaluado con responsabilidad.

En ese sentido, señaló que cualquier eventual decisión tendría que considerar diversos factores, entre ellos el impacto sobre la demanda de combustibles subvencionados, la situación de los vehículos que circulan sin el Seguro Obligatorio de Accidentes de Tránsito (SOAT) y la existencia de motorizados robados o vinculados a actividades ilícitas.

Asimismo, recordó que anteriores procesos de regularización generaron la expectativa de nuevas amnistías, lo que incentivó el ingreso ilegal de vehículos al país.

Por ello, sostuvo que cualquier alternativa deberá contemplar mecanismos que impidan que el problema vuelva a repetirse.

«Cualquier solución tiene que evitar que dentro de unos años volvamos a discutir exactamente lo mismo», señaló la autoridad, al insistir en que una eventual política pública deberá equilibrar la realidad existente con el respeto a la legalidad y la seguridad jurídica.",https://larazon.bo/nacional/2026/07/04/lupo-rechaza-legalizar-autos-chutos-y-advierte-de-un-riesgo-moral/
