sitio_noticias,fecha,seccion,titular,cuerpo,url
Éxito Noticias Bolivia,2026-08-27,MUNDO,Nepal y China buscan a casi 1.400 desaparecidos tras riadas,"Éxito Noticias, 27 de agosto 2026.- Las autoridades de Nepal elevaron este jueves a 826 la cifra de personas desaparecidas tras la riada en la frontera con Tíbet. A este último recuento se suman los 3 fallecidos y 558 desaparecidos reportados en el lado chino de la frontera, en el condado tibetano de Gyirong, lo que eleva el total provisional a nivel transfronterizo a 292 muertos y cerca de 1.400 desaparecidos, , a la espera de datos consolidados formalmente entre Katmandú y Pekín.

Muchos de los desaparecidos son turistas extranjeros, informaron las autoridades sobre este desastre, que según el Servicio Geológico de Estados Unidos fue causado por el colapso de un glaciar que provocó un “flujo de escombros” y “repercusiones catastróficas posteriores”. En total se cuentan a 466 extranjeros arrastrados por el lodo, según la Autoridad Nacional para la Reducción y Gestión del Riesgo de Desastres (NDRRMA), dependiente del Ministerio del Interior nepalí.

Entre los extranjeros desaparecidos hay visitantes y peregrinos espirituales de India, Australia, Reino Unido, Malasia, Países Bajos, Portugal, Sudáfrica, Corea del Sur y Estados Unidos, precisaron las autoridades locales y de esos países. También se han mencionado viajeros de Canadá, Nueva Zelanda, Singapur y Ucrania.

Cifra de muertos aumentará

El cómputo oficial en territorio nepalí eleva además a 289 la cifra total de cadáveres recuperados a lo largo de los valles anegados por los que pasa el río Bhote Koshi, que arrasó localidades enteras, puentes y carreteras cuando se desbordó el miércoles (26.08.2026) por la mañana. Mientras que, al otro lado de la frontera, la prensa estatal china informó que el balance por el “deslizamiento de lodo” que llegó al puerto tibetano de Gyirong es de tres muertos.

El primer ministro nepalí, Balendra Shah, se ha desplazado a la zona del desastre para supervisar sobre el terreno las tareas de socorro, la atención a los heridos y la distribución de ayuda de emergencia, mientras más de 7.400 efectivos de la policía y el ejército continúan desplegados en las labores de búsqueda.

//DW",https://exitonoticias.com.bo/nepal-y-china-buscan-a-casi-1-400-desaparecidos-tras-riadas/401553/
Éxito Noticias Bolivia,2026-08-27,"NACIONAL, POLITICA, PORTADA",Gálvez pide respetar el Estado de Excepción vigente y por ahora descarta su ampliación,"Éxito Noticias, 27 de agosto 2026.- El Gobierno aclaró que ampliar el Estado de Excepción no es una prioridad inmediata y recordó que la medida sigue vigente y activa para asegurar alimentos, medicinas y el derecho al trabajo, por lo que se advierte sanciones para los infractores, según informó este jueves el vocero presidencial, José Luis Gálvez.

“Todos aquellos que puedan tener molestias pueden protestar, estamos en democracia; pero no pueden bloquear, no pueden hacerle daño al país, esa no es la vía. Y si las autoridades que tienen que tomar la decisión ven que fuese pertinente ampliar esa medida, bueno, habrá que hacerlo, pero yo lo veo en debate; no es todavía una prioridad inmediata”, manifestó la autoridad en entrevista con radio Fides.

Al momento, existen reportes activos de bloqueos y protestas este jueves. La principal causa de la movilización es el rechazo generalizado al Decreto Supremo 5676, el cual elimina la subvención del diésel para los grandes consumidores y fija un precio referencial de 18 bolivianos por litro.

“Lamentablemente el diésel se los impide, entendemos las motivaciones, la molestia; compartimos la frustración en ese sentido, pero esto no se arregla bloqueando, esto no se arregla haciéndonos daño de nuevo. Pero, además, el Estado de Excepción está en plena vigencia”, destacó Gálvez.

La ley

El presidente Rodrigo Paz Pereira dictó el Estado de Excepción el 20 de junio de 2026 mediante el Decreto Supremo N° 5636. La medida se estableció por un periodo inicial de 90 días, lo que sitúa su fecha programada de finalización para el 18 de septiembre de 2026.

“Y aquel que esté promoviendo bloqueos, que esté actuando en esa dirección, que esté atentando contra la infraestructura del Estado y contra la ciudadanía, tendrá que rendir cuentas ante la ley”, subrayó el vocero gubernamental.

En conclusión, Gálvez remarcó que el Gobierno tiene una sólida vocación democrática y reafirmó la disposición al diálogo, bajo la premisa de que la “ley debe cumplirse rigurosamente”.",https://exitonoticias.com.bo/galvez-pide-respetar-el-estado-de-excepcion-vigente-y-por-ahora-descarta-su-ampliacion/401567/
Éxito Noticias Bolivia,2026-08-27,"PORTADA, SEGURIDAD",Bloqueo en el trópico: estudiantes de la Unibol Quechua reclaman atención a sus demandas,"Éxito Noticias, 27 de agosto 2026.- Estudiantes de la Universidad Indígena Boliviana “Casimiro Huanca” (Unibol Quechua) instalaron desde la madrugada de este jueves un bloqueo en la nueva carretera Cochabamba-Santa Cruz, en el sector del trópico cochabambino, en demanda de una respuesta de las autoridades nacionales.

Los movilizados rechazan el supuesto traslado de la universidad de Chimoré a Tolata y exigen la destitución del rector Milton Contreras, a quien acusan de presuntos hechos de corrupción.

Entre sus demandas también se encuentra la restitución de los recursos económicos administrados mediante el SIGEP, que, según denunciaron, fueron cerrados de manera arbitraria.

La medida fue anunciada con anterioridad y se desarrolla mientras permanece vigente el estado de excepción en el país. Los estudiantes esperan un pronunciamiento del Gobierno para instalar una mesa de diálogo y atender sus pedidos.

Dirigentes del trópico de Cochabamba, por su parte, solicitaron al ministro de Educación, Erick Sanjinéz, intervenir en el conflicto y advirtieron que más de 600 estudiantes estarían afectados por la situación de la casa de estudios.

La demanda también fue planteada durante la concentración del sector evista realizada el miércoles.",https://exitonoticias.com.bo/bloqueo-en-el-tropico-estudiantes-de-la-unibol-quechua-reclaman-atencion-a-sus-demandas/401564/
Éxito Noticias Bolivia,2026-08-27,"POLITICA, PORTADA",Beller publica fotos de Cerimedo en la Casa Grande y junto a Paz en el “Escudo de las Américas”,"Éxito Noticias, 27 de agosto 2026.- La abogada Nadia Beller difundió este jueves dos fotografías de su expareja, el consultor argentino Fernando Cerimedo, con las que busca demostrar la cercanía que este habría mantenido con el Gobierno del presidente Rodrigo Paz.

Una de las imágenes muestra a Cerimedo sentado en una reunión junto al mandatario boliviano y otras autoridades durante el encuentro denominado “Escudo de las Américas”, realizado en marzo en Doral, Florida, Estados Unidos. Beller acompañó la fotografía con el mensaje: “Con Rodrigo Paz en el escudo de las Américas (marzo)”.

La cumbre reunió a líderes latinoamericanos convocados por el presidente estadounidense Donald Trump para abordar temas relacionados con seguridad, lucha contra el crimen organizado y cooperación regional.

La segunda fotografía corresponde a Cerimedo y fue publicada por Beller con la descripción: “En ‘la oficina’, su oficina del piso 23 de la Casa Grande del Pueblo (mayo)”. En la imagen se observa al consultor frente a una ventana, mientras detrás de él aparece la bandera boliviana.

La publicación fue realizada horas después de que Paz se pronunciara sobre su relación con Cerimedo y negara que el argentino hubiera tenido autorización para representar oficialmente a la Presidencia o al Gobierno.

El mandatario reconoció que Cerimedo colaboró durante su campaña y en la primera etapa de su administración, pero negó que haya existido un contrato o una relación laboral directa. También sostuvo que nunca tuvo autorización para representar al Ejecutivo o a su familia.

Un reporte de Bolivia Verifica señaló previamente que el consultor habría participado como asesor externo en la elaboración o modificación de al menos dos decretos supremos y una ley, aunque el Gobierno negó que hubiera ocupado un cargo formal.

Beller, quien sobrevivió a un ataque armado el pasado 17 de agosto y acusa a Cerimedo de haberlo organizado, sostiene que el consultor mantenía una presencia más activa dentro del Gobierno de la que ahora se reconoce públicamente.

En declaraciones recientes, la abogada afirmó que Cerimedo tenía una oficina en el piso 23 de la sede gubernamental, próxima al despacho presidencial. Esa versión también fue recogida por medios internacionales, aunque el Ejecutivo cuestiona que el argentino haya tenido funciones oficiales.

Tras la difusión de las nuevas fotografías, Beller reiteró que cuenta con más elementos para respaldar sus afirmaciones y anticipó que hará públicos chats, audios, fotografías y ubicaciones que, según sostiene, permitirían establecer la relación que Cerimedo mantenía con distintos espacios del Gobierno.

Cerimedo se encuentra actualmente detenido preventivamente dentro de las investigaciones iniciadas a raíz del ataque contra Beller, además de otros procesos abiertos por presuntos delitos económicos. El caso generó repercusiones políticas debido a sus vínculos previos con figuras de la derecha latinoamericana y a su cercanía con el entorno de Paz.",https://exitonoticias.com.bo/beller-publica-fotos-de-cerimedo-en-la-casa-grande-y-junto-a-paz-en-el-escudo-de-las-americas/401556/
Éxito Noticias Bolivia,2026-08-27,"NACIONAL, PORTADA",Instalan diálogo con productores de Beni que bloquean la ruta hacia Santa Cruz,"Éxito Noticias, 27 de agosto 2026.- Una mesa de diálogo fue instalada este jueves entre autoridades nacionales, departamentales y productores de la provincia Marbán, en Beni, que mantienen bloqueada la carretera hacia Santa Cruz por segundo día consecutivo.

La comisión está integrada por representantes de YPFB, la ANH y el gobernador de Beni, Jesús Egüez, quienes buscan una salida al conflicto generado por el rechazo al Decreto Supremo 5676, que establece un nuevo precio del diésel para los grandes consumidores.

Egüez pidió a los movilizados participar en una mesa de trabajo para analizar sus demandas y encontrar una solución al impacto que tendrá el nuevo precio del combustible en el sector productivo.

Está previsto que a las 18:00, en Trinidad, se reúna el ministro de Hidrocarburos, Marcelo Blanco, y el presidente de YPFB, Sebastián Daroca, con los productores para intentar alcanzar un acuerdo.

Mientras continúan las negociaciones, el bloqueo permanece en la carretera que conecta Beni con Santa Cruz, donde se reportan decenas de vehículos varados.",https://exitonoticias.com.bo/instalan-dialogo-con-productores-de-beni-que-bloquean-la-ruta-hacia-santa-cruz/401560/
Éxito Noticias Bolivia,2026-08-27,"PORTADA, SEGURIDAD",El ahora exdirector de la AJ reveló un negocio inmobiliario de $us 200.000 que mantuvo con Cerimedo,"Éxito Noticias, 27 de agosto 2026.- El director de la Autoridad de Juegos (AJ) en Santa Cruz, Luis Enrique Villarroel, reveló que mantenía una relación comercial con Fernando Cerimedo por la compra de una quinta ubicada en Nueva Palestina, cerca del Urubó.

Según su declaración, ambos acordaron la operación inmobiliaria en aproximadamente $us 200.000, después de que Cerimedo visitara la propiedad y manifestara su interés en adquirirla. Para concretar el negocio se habría suscrito un contrato de compraventa con representación sin mandato.

Villarroel señaló que Cerimedo llegó a pagar alrededor de $us 170.000 en cuotas y que quedó pendiente un saldo de aproximadamente $us 30.000. El último pago, según su testimonio, fue de Bs 100.000.

La relación comercial entre ambos forma parte de los elementos que ahora son considerados dentro de la investigación, debido a que Villarroel también declaró que Cerimedo le solicitó un préstamo de $us 50.000 días antes del atentado contra Nadia Beller.",https://exitonoticias.com.bo/el-ahora-exdirector-de-la-aj-revelo-un-negocio-inmobiliario-de-us-200-000-que-mantuvo-con-cerimedo/401578/
Éxito Noticias Bolivia,2026-08-27,"PORTADA, SEGURIDAD",Cerimedo pidió $us 50.000 al entonces director de la AJ días antes del atentado contra Beller,"Éxito Noticias, 27 de agosto 2026.- El exdirector de la Autoridad de Juegos (AJ) en Santa Cruz, Luis Enrique Villarroel, declaró que Fernando Cerimedo le solicitó un préstamo de $us 50.000 días antes del atentado contra Nadia Beller, ocurrido el 17 de agosto. Según su testimonio, solo contaba con $us 17.000, monto que posteriormente habría sido recogido por otra persona.

Villarroel también informó que mantenía una relación comercial con Cerimedo por la compra de una propiedad en Nueva Palestina, operación valorada en aproximadamente $us 200.000. De acuerdo con su declaración, Cerimedo habría pagado cerca de $us 170.000 y mantenía un saldo pendiente de unos $us 30.000.

El pedido de dinero es considerado un elemento que deberá ser contrastado dentro de la investigación. La declaración no establece que los $us 17.000 hayan sido utilizados para financiar el ataque contra Beller.

Las autoridades deberán determinar el destino del dinero y establecer, mediante otros elementos como mensajes, llamadas, movimientos financieros y testimonios, si existe alguna relación entre esa operación económica y el atentado.",https://exitonoticias.com.bo/cerimedo-pidio-us-50-000-al-entonces-director-de-la-aj-dias-antes-del-atentado-contra-beller/401575/
Éxito Noticias Bolivia,2026-08-27,"PORTADA, SOCIAL",COB rechaza ampliar el estado de excepción y cuestiona efectos del Decreto 5676 en la economía,"Éxito Noticias, 27 de agosto 2026.- El dirigente de la Central Obrera Boliviana (COB), Mario Argollo, cuestionó la situación económica y social del país y pidió al Gobierno hacer una “mea culpa” ante la persistencia de problemas como la falta de combustible y el impacto del incremento del diésel en la canasta familiar.

Tras permanecer alejado de los medios durante los últimos meses, Argollo explicó que tomó esa decisión para no afectar la defensa legal de las personas detenidas durante los bloqueos. Además, negó que la COB haya perdido su independencia frente al Gobierno.

El dirigente también expresó su rechazo a una eventual ampliación del estado de excepción y sostuvo que el Ejecutivo no puede recurrir a esta medida para administrar el país. Consideró que el Legislativo debería evitar su extensión y concentrarse, junto con el Gobierno, en atender las dificultades económicas, energéticas, políticas y sociales.

Sobre los acuerdos alcanzados entre la COB y el Ejecutivo, afirmó que el avance de las mesas de trabajo no cumple las expectativas. Anunció que la organización evaluará el martes el cumplimiento de los ocho compromisos suscritos el 19 de mayo y adelantó la convocatoria a una ampliada nacional para analizar la situación.

Argollo señaló que la COB mantiene su apuesta por el diálogo, pero advirtió que el malestar social podría aumentar si las autoridades no presentan respuestas concretas a la crisis.",https://exitonoticias.com.bo/cob-rechaza-ampliar-el-estado-de-excepcion-y-cuestiona-efectos-del-decreto-5676-en-la-economia/401572/
Éxito Noticias Bolivia,2026-08-27,"PORTADA, SOCIAL",COB recuerda que pidió alejar a Cerimedo del Gobierno antes de firmar acuerdo,"Éxito Noticias, 27 de agosto 2026.- La Central Obrera Boliviana (COB) recordó que, antes de suscribir el acuerdo con el Gobierno, planteó entre sus demandas la salida del argentino Fernando Cerimedo, al considerar que su presencia representa una posible injerencia extranjera en asuntos internos del país.

El dirigente sindical también se refirió al atentado contra Nadia Beller y afirmó que la organización ya había advertido sobre situaciones de este tipo. Lamentó que una ciudadana boliviana haya resultado víctima del hecho y señaló que los sectores movilizados habían anticipado escenarios de conflicto.

Ante la situación de incertidumbre, la COB pidió al Gobierno realizar una evaluación interna y definir medidas para enfrentar la crisis. El dirigente anunció que la organización enviará por escrito sus observaciones y demandas al Ejecutivo con el objetivo de establecer qué acciones se asumirán frente a los recientes acontecimientos.",https://exitonoticias.com.bo/cob-recuerda-que-pidio-alejar-a-cerimedo-del-gobierno-antes-de-firmar-acuerdo/401569/
Éxito Noticias Bolivia,2026-08-27,NACIONAL,“Es una lucha histórica”: Paz inicia con alcaldes la construcción de la agenda 50/50 para definir demandas municipales,"Éxito Noticias, 27 de agosto 2026.- El presidente Rodrigo Paz sostuvo este jueves una reunión con representantes de los municipios del país para recoger sus principales demandas y avanzar en la denominada agenda 50/50, con la que busca establecer una nueva coordinación entre el Gobierno central y las administraciones locales.

Durante el encuentro, Paz planteó la necesidad de transformar el modelo de gestión estatal y aseguró que su administración pretende reducir el centralismo. “El principio es el 50/50, solo el inicio”, afirmó el mandatario.

La reunión tiene como objetivo identificar las principales necesidades de los gobiernos municipales y establecer prioridades para la gestión pública, además de generar acuerdos entre ambos niveles del Estado.

Paz destacó el acercamiento con los alcaldes y señaló que el proceso debe permitir impulsar transformaciones de manera coordinada y organizada.",https://exitonoticias.com.bo/es-una-lucha-historica-paz-inicia-con-alcaldes-la-construccion-de-la-agenda-50-50-para-definir-demandas-municipales/401580/
