sitio_noticias,fecha,seccion,titular,cuerpo,url
La Razón,2026-06-18,Nacional,Transporte interdepartamental declara persona no grata a Argollo,"La dirigencia del transporte interdepartamental determinó declarar persona no grata al secretario ejecutivo de la Central Obrera Boliviana (COB), Mario Argollo, a quien responsabiliza por los perjuicios ocasionados por más de seis semanas de bloqueos en las carreteras del país.

Los representantes del sector anunciaron además la realización de un mitin de protesta y el inicio de una huelga de hambre para exigir el levantamiento de las medidas de presión que, según afirman, provocaron millonarias pérdidas económicas y afectaron a miles de trabajadores del transporte.

Durante una conferencia de prensa, los dirigentes cuestionaron el papel desempeñado por Argollo en el conflicto y expresaron su rechazo a las movilizaciones impulsadas por la COB y otros sectores sociales.

“Mario Argollo es declarado persona no grata para el transporte interdepartamental del país”, señalaron los representantes del sector.

Los transportistas sostienen que los bloqueos dejaron a cientos de buses paralizados, afectaron el traslado de pasajeros y provocaron daños económicos a empresas y conductores.

“No podemos permitir que una persona siga perjudicando a miles de familias que viven del transporte”, manifestaron.

Como parte de las medidas anunciadas, los dirigentes informaron que realizarán un mitin en los próximos días para exigir garantías para el libre tránsito y demandar soluciones definitivas a la crisis.

Asimismo, anunciaron una huelga de hambre como mecanismo de presión para visibilizar la situación que atraviesa el sector.

“Vamos a iniciar una huelga de hambre porque ya no podemos soportar más pérdidas económicas”, afirmaron.

Los representantes del transporte señalaron que, pese al acercamiento entre el Gobierno y la COB, mantienen preocupación por la posibilidad de que continúen los bloqueos mientras no existan acuerdos concretos.

El sector insistió en que la prioridad debe ser restablecer la circulación en todas las rutas nacionales y garantizar condiciones para la reactivación de las actividades económicas, especialmente en regiones que aún registran dificultades para el transporte de pasajeros y carga.",https://larazon.bo/nacional/2026/06/18/transporte-interdepartamental-declara-persona-no-grata-a-argollo-y-anuncia-medidas-de-presion/
La Razón,2026-06-18,"Marcas, Mundial 2026",Colombia debuta en el Mundial 2026 con victoria 3-1 sobre Uzbekistán,"Colombia venció el miércoles 3-1 a Uzbekistán en su debut en el Mundial 2026, frente a miles de hinchas que colmaron el estadio Azteca, en Ciudad de México.

Daniel Muñoz abrió el marcador en el minuto 41, mientras que Luis Díaz anotó a los 65′, cinco minutos después de que el mediocampista Abbosbek Fayzullayev sellara un empate temporal.

El tercer gol llegó en el descuento, a segundos del pitazo final, un cabezazo certero de Jáminton Campaz a un centro de Cucho Hernández.",https://larazon.bo/marcas/2026/06/18/colombia-debuta-en-el-mundial-2026-con-victoria-3-1-sobre-uzbekistan/
La Razón,2026-06-18,Columnistas,La revolución pendiente: confiar en nosotros mismos,"Durante las semanas de conflicto escuché una frase repetida una y otra vez por dirigentes campesinos: “Nosotros sufrimos más”. Decían que los medios no muestran la pobreza del campo ni la forma en que mueren sus hermanos. Era una justificación para los bloqueos y para la demanda de renuncia del presidente.

Sin embargo, detrás de esa denuncia había una ausencia inquietante: la falta de propuestas. Había una descripción del problema, pero ninguna respuesta concreta sobre cómo resolverlo. Como si el sufrimiento, por sí solo, fuera suficiente para legitimar cualquier medida.

Esa lógica no es nueva. Durante años hemos escuchado discursos que parecen partir de una premisa peligrosa: si existe pobreza, todos debemos compartirla. En lugar de pensar cómo generar riqueza para distribuir oportunidades, nos acostumbramos a discutir cómo repartir las carencias. El Estado aparece entonces como un padre proveedor que entrega recursos a las comunidades, como si la transferencia de dinero fuera suficiente para transformar la vida de las personas.

Bajo esa mirada, la propiedad comunitaria ha terminado siendo muchas veces una camisa de fuerza para la iniciativa individual. Y cuando el emprendimiento surge, suele hacerlo en la informalidad o casi en la clandestinidad. Pero surge. Ahí está el comercio alteño, los pequeños negocios familiares y miles de bolivianos que cada día desafían la adversidad para crear oportunidades donde aparentemente no existen.

Pensando en esta forma de entender el país, me surge una reflexión provocadora: quizás los bolivianos padecemos una especie de síndrome del impostor colectivo.

El síndrome del impostor es un patrón psicológico que lleva a una persona a desconfiar de sus capacidades, incluso cuando tiene logros y evidencias objetivas de su valor. Quien lo padece siente que no merece el éxito y vive con el temor de ser descubierto como un fraude.

Como sociedad, pareciera que muchas veces actuamos de manera similar. Nos cuesta reconocer nuestras fortalezas. Nos cuesta creer que somos capaces de construir prosperidad. Nos resulta más fácil explicar nuestros problemas a partir de agravios históricos que asumir el desafío de crear soluciones para el futuro.

No se puede negar que el racismo y la discriminación han existido y siguen existiendo en Bolivia. Son heridas reales que han causado dolor y exclusión. Pero tampoco podemos negar que miles de bolivianos han demostrado que es posible avanzar cuando existe esfuerzo personal acompañado de instituciones que faciliten el desarrollo.

Lo vi en Tiahuanaco, tierra de los ponchos rojos. Allí conocí a personas que habían decidido transformar su realidad. Recuerdo a una tejedora capaz de convertir lana e hilos en verdaderas obras de arte. Recuerdo a un anciano sabio que creó su propio museo para preservar y transmitir los conocimientos de la cultura aimara. Recuerdo a los propietarios de embarcaciones que aprendieron a guiar turistas por el lago Titicaca para mostrar la riqueza de sus aves y paisajes.

En ninguno de ellos vi resentimiento. Vi esperanza.

Vi personas que entendían que el reconocimiento de una historia de injusticias no está reñido con la construcción de un futuro mejor. Vi ciudadanos que querían integrarse al mundo sin renunciar a su identidad.

Por eso creo que el discurso permanente del enfrentamiento nos ha hecho daño. La repetición incesante del racismo, del separatismo y de las divisiones históricas no ha reivindicado a nadie. Tampoco ha resuelto los problemas estructurales del país. Lo que ha producido, demasiadas veces, es una cultura de sospecha mutua, de desconfianza y de resentimiento.

Nos ha llevado a creer que el odio puede reemplazar a la esperanza y que la venganza puede sustituir a los proyectos de vida.

Uno de los grandes desafíos nacionales es precisamente superar esa separatividad. Aprender a reconocernos como aliados y no como adversarios. Construir puentes entre el oriente y el occidente, entre el campo y la ciudad, entre las distintas culturas y regiones que conforman Bolivia.

No para uniformarnos, sino para compartir saberes, capacidades y experiencias de progreso que beneficien a todos.

La realidad actual es dura. El país enfrenta una desaceleración económica que ya se traduce en decrecimiento. Eso significa menos producción, menos empleo, menos inversión y menos oportunidades. Significa también más incertidumbre y menos esperanza.

En este escenario, esperar que el Estado resuelva todos los problemas es una ilusión. Ningún gobierno tiene la capacidad de reemplazar la creatividad, el esfuerzo y la iniciativa de millones de ciudadanos.

El emprendimiento necesita seguridad jurídica, reglas claras e incentivos reales para asumir riesgos. Necesita un Estado que facilite, no que obstaculice. Pero también necesita algo más profundo: una sociedad que crea en sí misma.

Porque el verdadero desafío de Bolivia es cultural y trasciende solamente lo económico.

Necesitamos recuperar la convicción de que podemos construir bienestar. Necesitamos educar a nuestros niños para que se sientan capaces, para que comprendan que el éxito no es un privilegio reservado para otros ni una traición a sus raíces. Necesitamos enseñarles que prosperar no debe generar culpa y que crecer individualmente también puede contribuir al bienestar colectivo.

No vamos a cambiar esta realidad de la noche a la mañana. Harán falta años de educación, de liderazgo y de trabajo paciente. Hará falta construir nuevos paradigmas y una nueva conciencia nacional.

Pero el costo de no hacerlo es mucho mayor.

Porque peor que la pobreza es resignarse a ella. Peor que la crisis es acostumbrarse a ella. Y peor que cualquier bloqueo es permanecer atrapados en el lamento, la desconfianza y el rencor entre bolivianos.

El día que creamos en nuestras capacidades con la misma fuerza con la que repetimos nuestras heridas, Bolivia habrá dado el primer paso hacia su verdadera transformación.",https://larazon.bo/opinion/columnistas/2026/06/18/la-revolucion-pendiente-confiar-en-nosotros-mismos/
La Razón,2026-06-18,Columnistas,El síndrome de Doña Florinda y de Stephen Candie en la coyuntura boliviana,"La actual crisis política y social en el país, más larga que el último Paro Cívico en Santa Cruz que duró 36 días, del 22 de octubre hasta el 26 de noviembre de 2022, ha puesto nuevamente en evidencia un fenómeno recurrente en determinados sectores de las, mal llamadas, clases medias urbanas, así como de los opinólogos, analistas de escritorio e “influencers” de redes sociales: el síndrome de Doña Florinda.

Como el personaje de El Chavo, estos sectores buscan diferenciarse simbólicamente del pueblo, despreciando sus formas de organización y protesta mientras creen pertenecer a una categoría superior. En los hechos muchos son proletariado, ya que viven de vender su trabajo físico, o cognitariado ya que venden su trabajo intelectual por un sueldo o salario. Sin embargo, desde esa lógica, los bloqueos son vistos únicamente como una expresión de irracionalidad, atraso, perjuicio o barbarie. Esta mirada invierte deliberadamente la relación causa-efecto.

Los bloqueos no son el origen de la crisis; son la consecuencia de una acumulación de insatisfacciones económicas, políticas y sociales que no encuentran canales institucionales efectivos para ser escuchadas y sobre todo resueltas.

A este fenómeno se suma el síndrome de Stephen Candie, en referencia al personaje de la película Django, que naturalizaba la dominación y despreciaba a quienes se rebelaban contra ella. Comportamiento que al parecer representa a cabalidad a muchos defensores del poder y del gobierno, mismos que a la vez sufren las inclemencias de las malas decisiones políticas de la actual administración gubernamental.

En nuestro país, esta patología política se expresa cuando ciertos sectores estigmatizan a los movilizados como delincuentes, salvajes o enemigos de la democracia, sin detenerse a analizar las condiciones materiales que generan la protesta. La condena moral al bloqueador sustituye al análisis de las causas del conflicto. Se criminaliza el síntoma mientras se protege la enfermedad.

La pregunta fundamental que estos críticos nunca responden es simple: ¿por qué la gente bloquea? Ninguna comunidad, sindicato, organización campesina o sector popular asume los costos económicos, políticos y hasta penales de una movilización por simple capricho. Antes del bloqueo existe una demanda ignorada, una promesa incumplida, una necesidad insatisfecha o una percepción de exclusión.

Cuando el Estado, las élites económicas o el sistema político dejan de ofrecer respuestas, la protesta emerge como mecanismo de presión. Históricamente, los grandes cambios sociales de Bolivia nacieron precisamente de procesos de movilización que en su momento también fueron estigmatizados.

Por ello, una lectura seria de la coyuntura no debería comenzar preguntándose cómo eliminar los bloqueos, sino qué condiciones los producen. Quien solo ve carreteras cortadas, pero es incapaz de ver la pobreza, la falta de representación política, el deterioro económico o la frustración acumulada detrás de ella, termina atrapado entre Doña Florinda y Stephen Candie.

Despreciando al pueblo mientras culpa a las consecuencias de problemas cuya raíz se niega a reconocer. La verdadera discusión democrática no consiste en condenar la protesta, sino en comprender por qué miles de personas consideran que ya no tienen otro mecanismo eficaz para hacerse escuchar.",https://larazon.bo/opinion/columnistas/2026/06/18/el-sindrome-de-dona-florinda-y-de-stephen-candie-en-la-coyuntura-boliviana/
La Razón,2026-06-18,Columnistas,¡Bolivia perdió por sus autogoles….!,"No es un partido de fútbol ni una competencia ciclística que gana el que mete más goles o el que llega primero a la meta. Todos perdimos en estos 47 días de bloqueos violentos en ciertas zonas del país.

Ni Rodrigo Paz, ni Argollo, ni Tupac pueden cantar victoria o decir que han doblegado a su adversario para conseguir sus objetivos. Pero el mismo Presidente y algunos de sus ministros ahí andan con rostros alegres señalando “le estamos ganando a los bloqueadores”, gracias al enojo de la ciudadanía que en varias partes procedió a desbloquear.

Bolivia, Bolivia, Bolivia perdió por goleada y fueron autogoles de los mismos bolivianos contra su país, su Estado, su República, su Nación, su espacio de vida y de trabajo.

El pedido de disculpas de los robustos dirigentes de la COB “al pueblo boliviano por las movilizaciones que buscaban mejoras para todos” es un golpe bajo a la dignidad del pueblo bloqueado, disculpas que no las acepto. Para ellos sus bloqueos fueron justos, bonitos y constructivos que buscaban romper con la democracia y la renuncia presidencial.

Pero estas acciones de fuerza han dejado a un país en un abismo en todos los ámbitos y claro para ellos la justicia no llegará y el manto de impunidad los cubrirá sobre los que permitieron la muerte de más de 10 personas enfermas y choferes varados en los puntos de bloqueo.

El país perdió por goleada y los goleadores fueron el Presidente y su gobierno, los dirigentes de la COB, los campesinos de Tupac Katari, los cocaleros de Chapare, cuyo capitán que es un animal político va tras el sillón presidencial sin importarle a la misma democracia, de la cual el es producto. Gracias al voto fue presidente durante más de 16 años.

La Cámara de Industria y Comercio es consciente de la grave situación que atraviesa el país. “A 47 días de bloqueo la crisis tiene nombre propio. Pequeñas empresas que ya cerraron. Inversiones frenadas en seco. Cargas varadas, contratos incumplidos. Cadenas logísticas colapsadas y familias que sienten el costo real de un país paralizado”.

¿Por qué perdió todo un país con esta protesta política, más allá de las teorizaciones fundamentalistas o análisis que defienden a los bloqueos y bloqueadores, bajo argumentos históricos, políticos, sociológicos, antropológicos, psicológicos, hay varios elementos contundentes que no aguantan estos análisis?:

Los bloqueos de 47 días han golpeado a los derechos humanos de millones de bolivianos.

Los bloqueos han provocado la muerte de más de ocho personas que no pudieron pasar un punto de bloqueo para sus tratamientos médicos.

Los bloqueos han elevado los precios del pollo, huevo, carne, pan en La Paz.

Los bloqueos están provocando el quiebre de empresas y de emprendimientos familiares.

Los bloqueos han reabierto heridas sociales profundas cuyos impulsores han arengado discursos racistas y violentos.

Los bloqueadores son platudos. Manejan mucho dinero y pagan a su gente para bloquear. Más de dos millones de bolivianos se les secuestró a varios bloqueadores. ¡Estar bloqueados por un grupo de bloqueadores que para estar 47 días en los puntos de bloqueos es que la vida para ellos es normal y fácil, teniendo sus financiadores con mucho dinero!

Los bloqueos y bloqueadores no es la protesta unánime y general de todo un país, en el que habitamos más de 11 millones de bolivianos que son seguridad la mayoría queremos vivir en democracia, en paz social y en desarrollo equitativo.

Los bloqueadores hicieron trizas carreteras principales del país; en fin, cometieron delitos por su protesta política. Una de sus demandas es que todo quede en la impunidad.

Los bloqueos y los bloqueadores han desnudado la orfandad en que está el ciudadano, que no vio actuar con valentía a los fiscales, a los jueces, a la policía, a las FFAA, al Defensor del Pueblo, al gobierno, cada cual protegiéndose.

Los bloqueos profundizaron las diferencias entre el Presidente y Vicepresidente, cuya misión eran enfrentar juntos estos conflictos, pero cada uno por su propio camino.

Los bloqueos y bloqueadores han puesto en jaque al gobierno de Rodrigo Paz.

Los bloqueos nos enfrentan y nos polarizan, han alimentado los discursos del odio contra el otro.

Los bloqueos nos bloquearon. Nos hirieron. Nos puso al borde del abismo.

Mientras el poder de turno está secuestrado por ellos mismos y por sus mismos errores y contradicciones internas pagará un alto costo político por no saber manejar y superar estos conflictos a su debido tiempo y con respuestas claras, coherentes e integrales.

El Presidente Paz y sus ministros podrán quedar bien ante los bloqueadores que ingresarán a la Casa Grande del Pueblo, con fotos incluidas y con rostros pungidos, pero por dentro estarán saboreando sus fechorías cometidas a lo largo de estos días de bloqueos.

Pero el gobierno no escuchó al pueblo bloqueado que pedía a gritos vivir en paz social.

Estas jornadas bloqueadores nos deja una Bolivia golpeada, maltratada, bloqueada y manoseada, en crisis social, política y económica, que al final los bloqueados tendremos que seguir poniéndole el hombro para no dejarnos vencer por el miedo, el odio y las violencias.",https://larazon.bo/opinion/columnistas/2026/06/18/bolivia-perdio-por-sus-autogoles/
La Razón,2026-06-18,Economía y Empresa,Gobierno ratifica que fortalecerá la minería estatal sin privatizaciones,"Durante una reunión con los trabajadores de Huanuni, el presidente Rodrigo Paz ratificó el compromiso de su Gobierno con la pacificación del país, el fortalecimiento de la minería estatal sin privatizaciones y la generación de empleos. El encuentro se realizó el miércoles en La Paz.

A través de sus redes sociales, el mandatario aseguró que se mantendrá una coordinación permanente con la Corporación Minera de Bolivia (Comibol) y reafirmó, además, que el impulso al sector minero se realizará “sin privatizaciones” y con el objetivo de generar empleo digno para los bolivianos.

Lea más: Minería niega que nueva reglamentación elimine la licencia ambiental

“Fortaleceremos la minería estatal y la generación de empleo digno, sin privatizaciones y con una coordinación permanente junto a Comibol”, escribió Paz en su cuenta de X y destacó que el diálogo y la unidad son pilares para consolidar una economía sólida y responder a las necesidades de las familias bolivianas.

Asimismo, el Ministerio de Minería y Metalurgia garantizó el fortalecimiento del sector estatal para impulsar la producción, generar empleo digno y contribuir al desarrollo económico del país.

“Continuamos promoviendo acciones orientadas a consolidar una minería más eficiente, sostenible y al servicio de las bolivianas y los bolivianos”, resaltó también esa cartera de Estado.",https://larazon.bo/economia-y-empresa/2026/06/18/gobierno-ratifica-que-fortalecera-la-mineria-estatal-sin-privatizaciones/
La Razón,2026-06-18,Nacional,"Con el diálogo en cuarto intermedio, los puntos de bloqueo en el país bajan de 50","Este jueves, Bolivia cumple 49 días de conflictos y aunque el diálogo logró instalarse en las últimas horas, los bloqueos de caminos se mantienen y suman más de 40 en esta jornada.

Según el mapa de transitabilidad de la Administradora Boliviana de Carreteras (ABC), cinco departamentos aún presentan cortes de vía.

Hasta las primeras horas de este jueves, La Paz y Cochabamba tienen cada uno a 16 puntos de bloqueo, Oruro reporta siete, Potosí cuatro y Santa Cruz dos cortes de vía.

Las movilizaciones persisten pese al encuentro que tuvo el Gobierno con la Central Obrera Boliviana (COB) donde se ingresó a un cuarto intermedio tras definir que se conformara una comisión para evaluar la situación jurídica de los detenidos.

Lea más: Hay 52 puntos de bloqueos y La Paz es de nuevo epicentro de la medida

Esa condición puso el ejecutivo de la COB, Mario Argollo, para avanzar con las negociaciones que buscan pacificar el país.

Mientras tanto la población sigue sufriendo y varios sectores advierten con asumir otras medidas ante la falta de soluciones a casi 50 días de movilizaciones que provocan millonarias pérdidas económicas y desabastecimiento.

Sectores productivos, como avícolas y el transporte, advirtieron a las autoridades nacionales que, si no despejan las rutas, van a parar por completo todo el aparato productivo.",https://larazon.bo/nacional/2026/06/18/con-el-dialogo-en-cuarto-intermedio-los-puntos-de-bloqueo-en-el-pais-bajan-de-50/
La Razón,2026-06-18,"Marcas, Mundial 2026",Luis Díaz pone la cara por Colombia… y por James,"Mientras los hinchas colombianos presentes en Ciudad de México el miércoles esperaban que una asistencia de este tipo naciera de los pies de James, «Lucho» tomó el papel de conductor y marcó el ritmo de un equipo que con la victoria 3-1 es líder del Grupo K del Mundial.

La asistencia a Daniel Muñoz destrabó el duelo. Luego, cuando los uzbekos habían empatado, marcó para la alegría de los más de 80.000 aficionados presentes en el estadio Azteca, la mayoría colombianos.

En el debut el extremo del Bayern Munich fue el jugador más destacado en un partido que se suponía esperado de la zurda de James.

Era la primera vez, con 29 años, que Díaz jugaba un Mundial. Pero frente a una marea amarilla respondió con la personalidad de una estrella consagrada.

«Yo creo que estoy en mi mejor momento. Físicamente me siento muy bien, mentalmente también», le dijo a la prensa.

Díaz demostró que podía ser el timonel del equipo pese a que siempre ha reconocido su rol de liderazgo un escalón por debajo de James, de 34 años.

Durante la eliminatoria al Mundial la afición le exigía que llevara las riendas de un equipo que se fue quedando sin ideas cuando el calendario se acercaba a la cita en México, Estados Unidos y Canadá.

El miércoles lo hizo dentro de la cancha y también marcó territorio frente a los micrófonos.

«Tengo que encaminar este grupo, esta selección, junto a los que tienen más experiencia».

Afectado por la eliminación de Colombia para Catar 2022, su carrera le debía un Mundial.

James en cambio no fue el típico enganche acertado y erró al momento de darle ritmo al ataque.

El debut en este Mundial del goleador de la edición de 2014 volvió a generar dudas por su falta de juego en Minnesota United.

Ante la prensa habló en tono bajo para halagar a su compañero Díaz.

«Es una persona que nos ayuda mucho», «tengo un cariño superespecial por él», dijo a DSports.

Incluso se animó a plantear en la posibilidad de que «El Guajiro» sea considerado para el Balón de Oro al mejor jugador de la temporada.

«¿Por qué no?», dijo el mediocampista, ya alejado de la élite del fútbol.

«Si podemos ir hasta el último día» del Mundial «se puede meter en el top tres» de mejores jugadores del mundo «fácil», dijo.

En el Mundial más grande de la historia, sus propios compañeros de club son la primera competencia para esas aspiraciones.

Así como Díaz ante Uzbekistán, el francés Michel Olise fue elegido el mejor jugador del partido ante Senegal y el inglés Harry Kane fue el más destacado ante Croacia.

Cuestionado sobre la competencia por el Balón de Oro, «Lucho» afirmó que prefiere estar «concentrado en la selección» y «trabajar para el equipo».

El próximo partido ante República Democrática del Congo le exigirá nuevamente pensar en formas de romper una defensa que ya demostró buen desempeño con un 1-1 ante Portugal.

(18/06/2026)",https://larazon.bo/marcas/2026/06/18/luis-diaz-pone-la-cara-por-colombia-y-por-james/
La Razón,2026-06-18,Sociedad,Senamhi pronostica vientos e ingreso de otro frente frío,"Un nuevo frente frío ingresará al país el viernes y afectará, principalmente, a cinco departamentos, informó el Servicio Nacional de Meteorología e Hidrología (Senamhi), que además emitió dos alertas naranjas por vientos fuertes.

Según Erick Sossa, director departamental del Senamhi de Cochabamba, el frente frío afectará a Santa Cruz, Beni, Pando, el chaco tarijeño y el trópico de Cochabamba.

Asimismo, explicó que las bajas temperaturas se sentirán principalmente durante el fin de semana, mientras que, entre el lunes y martes, habrá leves mejoras.

Lea más: Educación evalúa anticipar las vacaciones de invierno en La Paz

“Es normal el ingreso de flujo sur, el del lunes (pasado) estuvo un poquito más fuerte, por eso tuvimos precipitaciones en Santa Cruz, el chaco, el trópico, el de estos días está bastante débil, sí hubo un leve descenso, pero únicamente de máximas, y el del sábado será un poquito más intenso”, explicó en Unitel.

El país está a puertas de ingresar al invierno y en varias regiones ya se registran temperaturas bajo cero.

Asimismo, la entidad informó que hasta la fecha la temperatura más baja se sintió en Jesús de Machaca, del departamento de La Paz, y en Uyuni, en Potosí, donde el termómetro descendió hasta los 15 grados bajo cero.

El pronóstico alerta, además, de vientos moderados a temporalmente fuertes este jueves en Potosí, Santa Cruz y Tarija.",https://larazon.bo/sociedad/2026/06/18/senamhi-pronostica-vientos-e-ingreso-de-otro-frente-frio/
La Razón,2026-06-18,"Marcas, Mundial 2026",Turquía y Paraguay ponen en juego su destino en el Mundial,"Turquía perdió 2-0 ante Australia y Paraguay fue goleado 4-1 por Estados Unidos en la apertura del Grupo D.

Ello reduce el margen de error de ambas selecciones en este enfrentamiento en el Levi’s Stadium de Santa Clara, en la Bahía de San Francisco.

Un nuevo tropiezo podría ser fatal, aunque la ventana de la clasificación como uno de los ocho mejores terceros de las doce llaves permanecería abierta tras la ampliación de la Copa del Mundo a 48 selecciones.

Tanto el turco Güler, de 21 años, como el paraguayo Enciso, de 22, fueron titulares en su debut mundialista, un hito personal opacado por los malos resultados de sus equipos.

Es, entonces, hora de enderezar las cosas.

«No fue el resultado que queríamos, pero esto recién empieza», declaró Enciso a la prensa tras el duro revés sufrido por Paraguay a manos de Estados Unidos.

El joven jugador del Racing de Estrasburgo francés tuvo una buena presentación, excepción en un día para el olvido del equipo entrenado por el argentino Gustavo Alfaro.

Dio el pase para el único gol albirrojo, anotado por el brasileño naturalizado paraguayo Mauricio.

Había llegado al evento entre algodones, por problemas musculares, pero pudo recuperarse un tiempo para la reaparición de Paraguay en el Mundial tras 16 años de ausencia.

«Toca aprender, seguir trabajando más fuerte que nunca y prepararnos para lo que viene», continuó Enciso.

Alfaro, en tanto, lidia con lesiones de dos piezas en su rotación ofensiva: Ramón Sosa y Gustavo Caballero.

Sosa arrastró molestias por un esquince en el tobillo izquierdo sufrido con su club, el Palmeiras brasileño. Ingresó como suplente en el minuto 79 en el compromiso anterior, pero se resintió, según reporta la prensa paraguaya.

Caballero no tuvo tiempo de juego.

Otra preocupación adicional son las tarjetas amarillas recibidas por cinco jugadores de Paraguay en el primer duelo, entre ellos figuras como Miguel Almirón y Diego Gómez.

Si fuesen amonetados contra Turquía se perderían el tercer y último partido de la fase de grupos ante Australia, el jueves de la próxima semana.

«No tengo ninguna duda de que vamos a hacer lo posible y que vamos a luchar por clasificar», dijo Alfaro.

«Todavía hay tiempo para recuperarnos», comentó en la misma línea el seleccionador de Turquía, el italiano Vincenzo Montella, tras la decepcionante derrota ante Australia.

Güler, con el talento que le ha convertido en una de las mayores apuestas del Real Madrid, intentó con insistencia, aunque sin suerte.

Totalizó ocho disparos.

Sin embargo, cuando no le falló la puntería, el portero de los Socceroos, Patrick Beach, estuvo atento para neutralizar las amenazas.

(18/06/2026)",https://larazon.bo/marcas/2026/06/18/turquia-y-paraguay-ponen-en-juego-su-destino-en-el-mundial/
