sitio_noticias,fecha,seccion,titular,cuerpo,url
La Razón,2026-06-20,"Marcas, Mundial 2026","Paraguay sufre pero derrota 1-0 a Turquía, que queda eliminada","Paraguay, que jugó toda la segunda parte en inferioridad por la expulsión de Miguel Almirón justo antes de la pausa, logró una victoria heroica por 1-0 ante Turquia que le permite seguir aspirando a clasificar a dieciseisavos de final del Mundial 2026.

Un gol de Matías Galarza en el minuto 2  fue suficiente para que los hombres de Gustavo Alfaro se llevaran una victoria que, además, elimina a Turquía del torneo.

Este resultado también hace que Estados Unidos, dirigido por el argentino Mauricio Pochettino, asegure la primera plaza del Grupo D, horas después de haberse convertido en el segundo equipo, después de México, en clasificarse para dieciseisavos tras vencer 2-0 a Australia.",https://larazon.bo/marcas/2026/06/20/paraguay-sufre-pero-derrota-1-0-a-turquia-que-queda-eliminada/
La Razón,2026-06-20,Nacional,El presidente Paz declara Estado de Excepción,"El presidente Rodrigo Paz anunció la madrugada de este sábado la declaratoria de Estado de Excepción en todo el territorio nacional, con el objetivo de restablecer el libre tránsito, garantizar el abastecimiento de productos esenciales y poner fin a más de 50 días de bloqueos y conflictos que, según afirmó, han provocado graves daños económicos y sociales al país.

A través de un mensaje dirigido a la nación, el mandatario aseguró que la medida busca liberar las carreteras y devolver la normalidad a la población. “Los bolivianos no pueden seguir siendo rehenes de bloqueos que impiden trabajar, estudiar, recibir atención médica, abastecerse y llevar sustento a sus hogares”, señaló.

Paz sostuvo que el Gobierno optó inicialmente por el diálogo antes que por medidas de fuerza, debido a que identificó demandas legítimas de diversos sectores sociales. Según explicó, durante las últimas semanas se instalaron mesas de negociación con organizaciones sociales, productores, transportistas y otros actores, logrando acuerdos con la mayoría de ellos.

Sin embargo, afirmó que algunos grupos mantuvieron las medidas de presión pese a los avances alcanzados. En ese contexto, acusó a sectores vinculados al Chapare de impulsar una estrategia de desestabilización política.

“Lo que hoy enfrenta Bolivia ya no es una protesta social ni una movilización reivindicativa. Es una estrategia organizada de desestabilización contra la democracia y un gobierno constituido”, manifestó. El jefe de Estado calificó la situación como un “intento de golpe de Estado desde el narcoterrorismo”.

El mandatario informó que instruyó a la Policía Boliviana y a las Fuerzas Armadas ejecutar las acciones necesarias para recuperar las carreteras, garantizar la seguridad ciudadana y restablecer el libre tránsito en todo el país.

Asimismo, advirtió que quienes continúen promoviendo bloqueos, actos de violencia o acciones contra el orden constitucional deberán enfrentar procesos legales. No obstante, reiteró que las puertas del diálogo seguirán abiertas para quienes presenten demandas legítimas.

“Este no es un Estado de Excepción para restringir la vida de la gente. Es un Estado de Excepción para devolverle la libertad a la gente”, afirmó.

El mandatario también aseguró que los bloqueos dejaron profundas consecuencias para la economía nacional, debido a que los productores no pudieron comercializar sus cosechas, transportistas vieron paralizadas sus actividades y miles de familias enfrentaron dificultades para acceder a alimentos, medicamentos y combustible.

Además, indicó que más de 250.000 trabajadores, principalmente de La Paz y El Alto, resultaron afectados por la paralización de actividades económicas.

En su discurso, lamentó la pérdida de vidas humanas durante el conflicto y expresó solidaridad con las familias de las víctimas.

Como parte de las medidas complementarias, el jefe de Estado anunció la creación de una Comisión Especial para las provincias del departamento de La Paz, destinada a transformar en proyectos concretos los acuerdos alcanzados con distintos sectores sociales.

De igual manera, convocó a un Gran Acuerdo Nacional que incluirá a líderes políticos, gobernadores, alcaldes, universidades, sectores productivos, trabajadores y organizaciones sociales, con el fin de construir una agenda compartida de desarrollo para los próximos años.

El mandatario también llamó a la reconciliación nacional y sostuvo que Bolivia debe dejar atrás los ciclos de confrontación política para concentrarse en el desarrollo, la producción y el empleo.",https://larazon.bo/nacional/2026/06/20/el-presidente-paz-firmo-el-decreto-de-estado-de-excepcion/
La Razón,2026-06-20,Nacional,Conozca las restricciones y prohibiciones aplicadas por el Estado de Excepción,"Luego de que el presidente Rodrigo Paz promulgara el estado de excepción en todo el territorio nacional e instruyera el despliegue de las Fuerzas Armadas y la Policía para restablecer el orden público, especialmente en las carreteras, Bolivia cumplió ayer 50 días de conflictos sociales marcados por bloqueos que paralizaron la actividad productiva en diversos sectores y dejaron más de una decena de fallecidos.

Las ciudades de La Paz y El Alto fueron las más afectadas por el cerco que restringe el ingreso de alimentos, combustible, medicamentos y oxígeno medicinal, situación que provocó escasez y el incremento de precios de varios productos.

Restricciones generales para la población (Artículo 4)

Toda persona natural o jurídica dentro del territorio nacional debe cumplir con lo siguiente:

Suspensión Temporal de Derechos y Medidas Extraordinarias (Artículo 5)

Estas restricciones específicas suspenden temporalmente ciertos derechos constitucionales:",https://larazon.bo/nacional/2026/06/20/conozca-las-restricciones-y-prohibiciones-aplicadas-por-el-estado-de-excepcion/
La Razón,2026-06-20,Voces,Teñir de sangre el Estado,"Hace más de 7 días que el presidente Rodrigo Paz, promulgó la Ley N°1740 de Regulación de los Estados de Excepción, como respuesta a los casi 50 días que la ciudad de La Paz y El Alto viven secuestrados, amordazados y maniatados por la COB y los «Túpac Katari», dos actores que pasarán a la historia y al recuerdo colectivo de nuestro país, por abandonar las verdaderas reivindicaciones sociales y pretender tomar por la fuerza y en las calles, lo que está previsto en nuestro texto constitucional.

Ahora bien, cuando hablamos de este tipo de medidas (Estado de Sitio anterior Constitución, Estado de Excepción nueva Constitución) es importante saber que las mismas siempre han teñido de sangre la historia de nuestro país, 3 de ellas en tiempos de «dictadura» y 4 en tiempos de «democracia».

Empecemos con la primera, del general Hugo Banzer Suarez en 1971 con Estado de Sitio intermitente y con suspensión total de garantías (miles de detenidos y más de 400 muertos entre 1971 y el 1978); Alberto Natusch Busch en 1979 de 100-200 muertos en 16 días de medida; Luis García Meza en 1980 acuñando la frase «andar con el testamento bajo el brazo» que dejó cerca de 150 muertos, entre ellos a Marcelo Quiroga Santa Cruz, que en las elecciones de ese año, fue el diputado electo con mayor cantidad de votos; Gonzalo Sánchez de Lozada en 1995 con 3 muertos en 12 días de medida; Hugo Banzer Suarez en el 2000 (de Dictador a Presidente Constitucionalmente electo…como otras tantas ironías que tiene nuestra historia) con la llamada «guerra del agua» con 12 días, un muerto y centenares de heridos; nuevamente Gonzalo Sánchez de Lozada en el 2003 con 67 muertos, en 6 días de un «octubre negro», que terminó con la huida del mandatario después de decir: «que Dios salve Bolivia»; y finalmente Evo Morales durante el 2008 con 18 muertos en 70 días ante una medida regionalizada en el departamento de Pando.

Entonces, los Estados de Sitio en dictadura le robaron nuestra historia alrededor de 2.770 días y los Estados de Sitio en democracia solo 100, proporcional a ello los Estados de Sitio en dictadura se llevaron más de 800 personas y los Estados de Sitio en democracia, más de 150 personas. Finalmente, si bien los Estados de Sitio en dictadura tuvieron mayor tiempo y cobraron más vidas; en democracia, no fueron una taza de leche y un sentarse en la mesa a dialogar…hubo sangre y luto.

Cuando revisamos la nueva Constitución Política del Estado del 2009, y pensamos que tiene una hoja en blanco en este tema, estamos equivocados, pues en 4 artículos se establece una interesante base para su aplicación, entendiendo que el espíritu de los mismos pretenden vía constitucional, limitar aquellos eternos 7 años de aberraciones del gobierno de Banzer o la serie de torturas y desapariciones realizadas en el gobierno de García Meza; incluye, a) cuando se procede con la medida (seguridad del Estado, amenaza externa, conmoción interna y desastre natural), b) establece quien lo declara (presidente) y cuánto tiempo dura (90 días como máximo), c) establece que tipo de derechos se suspenden, y finalmente, d) establece el control sobre la declaratoria, ejercido por la asamblea legislativa.

Es así que, en octubre de 2020, bajo la coyuntura de crisis social y política que atravesaba nuestro país; ya se habían cumplido los 10 días en los que Jeanine Añez debía promulgar la famosa «Ley Copa» (Ley N°1341), lo que obligaría a la presidenta del senado (naturalmente Eva Copa) a su promulgación. Añez manifestaba que dicha norma era una barrera para el accionar de su gobierno ante los conflictos emergentes. Añez tenía el bote, pero la asamblea le quito los remos…no llegó a ningún puerto.

Ahora bien, Rodrigo Paz tiene nuevamente el bote, la Asamblea le puso los remos y la población le dio el puerto, tiene las medidas a bordo para ejercer el control que tanto necesita y piden algunos sectores, no obstante, y ojo con ello, como hemos podido ver en todo el documento, la aplicación de esta medida siempre ha tenido tintes rojos en la escritura de nuestra historia. Por lo tanto, la moraleja es…»a río revuelto, ganancia de pescadores»; pero lastimosamente en esta historia…los pescadores están rodeados de tiburones…",https://larazon.bo/voces/2026/06/20/tenir-de-sangre-el-estado/
La Razón,2026-06-20,Columnistas,Colombia: La democracia más fuerte de américa latina,"Me encuentro en Colombia integrando una misión internacional de observación electoral convocada para acompañar la segunda vuelta presidencial que tendrá lugar el próximo domingo. Las actividades oficiales de la misión acaban de inaugurarse y, durante el acto de apertura, el presidente del Consejo Nacional Electoral formuló una afirmación que inmediatamente llamó mi atención: «Colombia tiene la democracia más fuerte de América Latina».

Se trata de una declaración ambiciosa. En una región donde prácticamente todos los países reivindican credenciales democráticas, semejante afirmación podría parecer una expresión de legítimo orgullo institucional. Sin embargo, mientras escucho las exposiciones de las autoridades electorales, converso con académicos, periodistas, expertos en procesos electorales y colegas observadores internacionales, comienzo a comprender que detrás de esa frase existe una realidad digna de análisis. Y debo admitir que comparto esa apreciación.

No porque Colombia carezca de problemas. Todo lo contrario. Pocos países latinoamericanos han debido enfrentar simultáneamente desafíos tan complejos y persistentes. Violencia política, conflicto armado interno, narcotráfico, desigualdad social, polarización ideológica y profundas tensiones territoriales. Precisamente por ello resulta aún más notable que, en medio de esas circunstancias, la democracia colombiana haya conseguido preservar una estabilidad institucional que hoy la distingue en el continente.

El gran teórico de la democracia, Robert Dahl, sostiene que la calidad de un régimen democrático no se mide por la ausencia de conflictos sino por la capacidad de las instituciones para procesarlos pacíficamente. Si aceptamos ese criterio, Colombia constituye uno de los ejemplos más interesantes de América Latina. A pesar de las múltiples crisis que atraviesa su historia reciente, el país mantiene una confianza fundamental en el sufragio como mecanismo legítimo para resolver la disputa por el poder.

Mientras me preparo para observar la jornada electoral del próximo domingo, percibo que esa confianza no se limita a las autoridades. Está presente también en los partidos políticos, en los medios de comunicación, en las organizaciones de la sociedad civil y, sobre todo, en los ciudadanos. Todos parecen asumir que las diferencias deben resolverse en las urnas y dentro del marco institucional.

La politóloga Jennifer McCoy, una de las mayores especialistas mundiales en polarización política, afirma que las democracias resilientes son aquellas capaces de preservar reglas compartidas aun cuando los actores discrepen profundamente sobre casi todo lo demás. Colombia parece haber construido precisamente ese tipo de consenso básico. Las confrontaciones son intensas y las diferencias ideológicas, profundas, pero existe una aceptación generalizada de las reglas del juego democrático.

Quizás la mayor lección que Colombia ofrece hoy a América Latina sea que la democracia no se fortalece cuando desaparecen los conflictos. Se fortalece cuando una sociedad decide resolverlos mediante instituciones legítimas, reglas compartidas y elecciones libres. A pocos días de una nueva elección presidencial, esa convicción democrática se percibe aquí con una fuerza singular. Por eso, cuando el presidente del Consejo Nacional Electoral afirma que Colombia posee la democracia más fuerte de América Latina, no parece estar expresando únicamente una aspiración. Tal vez esté describiendo una realidad construida durante décadas de aprendizaje, resistencia y compromiso con la libertad política.",https://larazon.bo/opinion/columnistas/2026/06/20/colombia-la-democracia-mas-fuerte-de-america-latina/
La Razón,2026-06-20,Nacional,Estado de excepción: Hay menos de 40 puntos de bloqueo,"Los bloqueos se registran principalmente en los departamentos de La Paz con 18 puntos y Cochabamba, registrando 15 bloqueos. Mientras que en Oruro se reportan 4 y en Santa Cruz dos piquetes, según el reporte de la página de transitabilidad de la Administradora Boliviana de Carreteras (ABC) a las 07.00.

En la madrugada del día 51 de conflictos sociales, el presidente Rodrigo Paz dictó Estado de excepción en todo el territorio nacional, ordenando operativos para la liberación de carreteras.

Lea. El presidente Paz declara Estado de Excepción

”Hemos tomado la decisión de declarar el Estado de excepción en todo el territorio nacional”, sostuvo el presidente en su mensaje difundido la madrugada de este sábado.

Se prevé que la Policía comience el desbloqueo de las carreteras en los principales puntos del país.

Además, desde la COB su máximo dirigente, Mario Argollo, instruyó el levantamiento de las medidas de presión en todo el país el viernes en la noche.

Sin embargo, militantes del evismo y los campesinos de La Paz ordenaron mantener los bloqueos y masificarlos.",https://larazon.bo/nacional/2026/06/20/estado-de-excepcion-hay-menos-de-40-puntos-de-bloqueo/
La Razón,2026-06-20,Nacional,Policías y militares se desplazan en Cochabamba,"Desde muy temprano efectivos militares y policiales se desplazan en Cochabamba. Se trata de las primeras horas del Estado de Excepción que decretó el Gobierno de Rodrigo Paz hoy en la madrugada.

El resguardo militar se activó en los principales puentes que conectan a la ciudad de Cochabamba con otras regiones del país.

En La Paz, la Policía se concentra en el comando de la policía en El Alto y en instalaciones de la Unidad Táctica de Operaciones Policiales (UTOP).

Lea. Estado de excepción: Hay menos de 40 puntos de bloqueo

Al operativo se sumó equipo pesado con el objetivo de despejar las rutas bloqueadas.

El presidente Rodrigo Paz, junto a su gabinete de ministros, decretó en las primeras horas de este sábado Estado de excepción, para despejar las rutas a escala nacional.

La decisión presidencial se da luego de la firma de un acuerdo con la Central Obrera Boliviana (COB y anunció el fin de sus medidas de presión.

Sin embargo, la Federación de Campesinos Túpac Katari y los seguidores de Evo Morales ratificaron la continuidad de las movilizaciones y anunciaron la radicalización de los bloqueos.",https://larazon.bo/nacional/2026/06/20/policias-y-militares-se-desplazan-en-cochabamba/
La Razón,2026-06-20,Nacional,Gobierno defiende estado de excepción para restablecer la normalidad,"El Gobierno defendió este sábado la declaratoria de Estado de excepción dispuesta por el presidente Rodrigo Paz y aseguró que la medida tiene como objetivo restablecer la normalidad en el país, garantizar la libre circulación y evitar nuevas pérdidas humanas tras más de 50 días de bloqueos en las carreteras.

El vocero presidencial, José Luis Gálvez, sostuvo que la decisión responde a la necesidad de proteger a la población frente a los efectos de las medidas de presión que, según afirmó, han generado graves consecuencias económicas y sociales.

“Compartimos el pesar por las vidas perdidas y hay que recordar que se debe justamente a la intransigencia y a la manipulación de demandas sociales, que en muchos casos eran legítimas porque durante décadas no fueron atendidas, pero que dieron con ese fruto tan nefasto para los bolivianos”, manifestó.

La autoridad señaló que el estado de excepción busca evitar nuevas víctimas, garantizar el acceso a servicios esenciales y restablecer el abastecimiento de alimentos y medicamentos en las regiones afectadas por los cortes de ruta.

“Es para evitar más decesos, para evitar que no llegue el tratamiento, para evitar que sigamos cortados y sin alimento, es que se ha dictado esto”, afirmó.

Gálvez explicó que la medida ya comenzó a aplicarse y expresó su expectativa de que los sectores movilizados procedan a despejar voluntariamente las carreteras en las próximas horas.

“En el transcurso de las horas esperamos que paso a paso se despejen todas las rutas y que podamos realmente tener eso que deseamos todos los bolivianos, volver a la normalidad dentro de poco”, señaló.

El vocero indicó que efectivos de la Policía Boliviana y de las Fuerzas Armadas ya se encuentran movilizándose hacia los puntos de bloqueo, donde ejecutarán los operativos previstos en el plan de seguridad diseñado por el Gobierno.

“Los policías y los militares no van a tener mayor actividad en las ciudades, no hay problemas en las ciudades; van a ir directamente a los puntos de bloqueo”, precisó.

Asimismo, remarcó que las fuerzas del orden actuarán de manera focalizada en las carreteras donde persisten las medidas de protesta y que los desplazamientos demandarán el tiempo necesario para cumplir con la planificación operativa.

La autoridad recordó que los bloqueos se prolongaron durante 51 días y tuvieron un elevado costo para el país, afectando el tránsito, el abastecimiento y diversas actividades económicas.

“Son más de 50 días y ha tenido un altísimo costo, pero hoy termina, a partir de hoy”, afirmó.

El Gobierno sostiene que el estado de excepción tiene como finalidad garantizar la normalidad, recuperar la transitabilidad en las carreteras y asegurar el acceso de la población a bienes y servicios esenciales en todo el territorio nacional.",https://larazon.bo/nacional/2026/06/20/gobierno-defiende-estado-de-excepcion-para-restablecer-la-normalidad/
La Razón,2026-06-20,Nacional,Quiroga respalda estado de excepción y exige frenar bloqueos,"El expresidente y líder de Libre, Jorge Tuto Quiroga, expresó este sábado su respaldo al estado de excepción decretado por el presidente Rodrigo Paz y pidió a la Asamblea Legislativa Plurinacional aprobar la medida para poner fin a los bloqueos que, según afirmó, mantienen paralizado al país desde hace 50 días.

A través de una publicación difundida en sus redes sociales, Quiroga sostuvo que las movilizaciones han provocado graves consecuencias económicas y sociales, especialmente para los sectores más vulnerables de la población.

“En nuestra Bolivia estamos padeciendo 50 días de crueles e inhumanos bloqueos, que más duro golpean a los humildes que tienen menos y sufren cada día más”, afirmó.

El exmandatario señaló que las protestas dejaron ciudadanos fallecidos, pacientes sin acceso a atención médica, estudiantes sin clases, transportistas varados y productores afectados por la imposibilidad de comercializar sus productos.

“La angustia popular es profunda y el padecimiento de los que menos tienen es más grande que nunca”, manifestó.

Quiroga calificó la actual medida de presión como el bloqueo de carreteras más prolongado de la historia boliviana y aseguró que sus efectos representan un daño sin precedentes para la economía nacional.

“50 días es el bloqueo terrestre, o corte de rutas, más largo de la historia. Este es el crimen económico más grave que ha sufrido nuestro país”, sostuvo.

Según el líder opositor, los bloqueos generan pérdidas cercanas a los 55 millones de dólares por día y, a su juicio, los responsables deberán responder ante la justicia y resarcir los daños ocasionados.

En ese contexto, afirmó que el Estado tiene la obligación constitucional de garantizar la libre circulación y los derechos de la ciudadanía, por lo que consideró necesario respaldar la medida adoptada por el Ejecutivo.

“El Legislativo debe aprobar esta disposición del Ejecutivo, porque la libertad de millones vale más que los bloqueos de unos miles”, señaló.

No obstante, Quiroga también planteó cuestionamientos sobre la implementación de la medida y la capacidad operativa del Gobierno para ejecutarla. Entre otros aspectos, preguntó por qué la decisión no fue asumida antes y si existen las condiciones logísticas y de inteligencia necesarias para garantizar su cumplimiento.

“Gobernar es decidir, legislar es escoger. Escogemos respaldar el estado de excepción, más allá de nuestros cuestionamientos sobre tiempo, capacidades y forma, porque defender a nuestros ciudadanos está encima de nuestro rol opositor”, afirmó.

En la parte más crítica de su pronunciamiento, el expresidente responsabilizó al líder cocalero Evo Morales por la crisis y sostuvo que los bloqueos buscan condicionar el futuro político del país.

“Bolivia con bloqueos no tiene futuro, y Bolivia secuestrada por Morales no es viable”, señaló.

Quiroga concluyó su mensaje convocando a respaldar el restablecimiento de la normalidad y la vigencia plena del Estado de derecho. “Hora de escoger: Bolivia libre o los bloqueos de Evo. Bolivia libre hoy. Bolivia libre en la ALP en las próximas 72 horas. Bolivia libre siempre”, afirmó.",https://larazon.bo/nacional/2026/06/20/quiroga-respalda-estado-de-excepcion-y-exige-frenar-bloqueos/
La Razón,2026-06-20,Nacional,Gobernador de Santa Cruz respalda el Estado de Excepción y ofrece apoyo institucional,"El gobernador de Santa Cruz, Juan Pablo Velasco, expresó este sábado su respaldo al Estado de Excepción decretado por el Gobierno y afirmó que la medida es necesaria para restablecer el orden, garantizar el libre tránsito y recuperar la normalidad en el país tras más de 50 días de conflictos sociales.

A través de sus redes sociales, la autoridad departamental sostuvo que Bolivia necesita recuperar la paz, la libertad de trabajo, la movilidad de la población y el acceso a los servicios de salud, en un contexto que ya dejó más de 20 fallecidos, por lo que pidió a la Asamblea Legislativa Plurinacional aprobar la medida en un plazo no mayor a 72 horas.

La madrugada de este sábado, el presidente Rodrigo Paz anunció la declaratoria de Estado de Excepción en todo el territorio nacional, con el objetivo de restablecer el libre tránsito, garantizar el abastecimiento de productos esenciales y poner fin a más de 50 días de bloqueos.

A través de un mensaje dirigido a la nación, el mandatario aseguró que la medida busca liberar las carreteras y devolver la normalidad a la población. “Los bolivianos no pueden seguir siendo rehenes de bloqueos que impiden trabajar, estudiar, recibir atención médica, abastecerse y llevar sustento a sus hogares”, señaló.

Lea más: El presidente Paz declara Estado de Excepción

Velasco informó también que la Gobernación, mediante la Secretaría de Seguridad Ciudadana y en coordinación con el Comando Regional y los mandos policiales y militares, pondrá a disposición su colaboración institucional para contribuir al restablecimiento del libre tránsito y la seguridad de la población.

Anunció que las instalaciones de la Gobernación serán habilitadas como un Centro de Información y Atención a Familiares para brindar orientación a los allegados de personas que pudieran verse involucradas en los operativos de desbloqueo.

La autoridad departamental mencionó que se realizará un monitoreo permanente de los acontecimientos en los puntos más críticos del departamento.

En cuanto a las acciones para los medios de comunicación, Velasco se comprometió apoyo a los medios de comunicación a través de la Dirección de Comunicación (DIRCOM), con el objetivo de facilitar el acceso a la información y garantizar condiciones seguras para el trabajo periodístico.

De igual manera, hizo un llamado a todos los comunicadores y usuarios de redes sociales a verificar rigurosamente la información antes de difundirla, evitando la propagación de noticias falsas o contenidos no confirmados durante este periodo excepcional.

Por otro lado, indicó que la Secretaría de Salud y el Servicio Departamental de Salud (SEDES) activaron un estado de emergencia sanitaria para reforzar la capacidad de respuesta de hospitales, centros de salud y ambulancias ante posibles contingencias derivadas de los operativos.

«Solicitamos a la Iglesia Católica y a Monseñor que acompañen espiritualmente este momento complejo para el país y que bendigan a los efectivos policiales y militares que tendrán la responsabilidad de cumplir las disposiciones emitidas por el Gobierno nacional», indicó.",https://larazon.bo/nacional/2026/06/20/gobernador-de-santa-cruz-respalda-el-estado-de-excepcion-y-ofrece-apoyo-institucional/
